similarity_score,name,homepage,description,status,abbreviation,countries,year_created,funder,funder_type,contact_name,contact_email,data_access_condition,publications
0.3726,Osteoarthritis Initiative,https://nda.nih.gov/oai,"The Osteoarthritis Initiative (OAI) is a multi-center, ten-year observational study of men and women to improve the understanding of prevention and treatment of knee osteoarthritis, one of the most common causes of disability in adults. The OAI is a permanent archive of the clinical data, patient reported outcomes, biospecimen analyses, quantitative image analyses, radiographs (X-Rays) and magnetic resonance images (MRIs) acquired during this study. While querying and browsing data is publicly available, all subject-level data is available behind a login.",ready,OAI,United States,,,,NDA Helpdesk,ndahelp@mail.nih.gov,controlled,
0.358,Medical Information Mart for Intensive Care III,http://mimic.physionet.org/,"MIMIC-III (Medical Information Mart for Intensive Care III) is a large, freely-available database comprising deidentified health-related data associated with over forty thousand patients who stayed in critical care units of the Beth Israel Deaconess Medical Center between 2001 and 2012. The database includes information such as demographics, vital sign measurements made at the bedside (~1 data point per hour), laboratory test results, procedures, medications, caregiver notes, imaging reports, and mortality (both in and out of hospital). MIMIC supports a diverse range of analytic studies spanning epidemiology, clinical decision-rule improvement, and electronic tool development. I",ready,MIMIC-III,United States,2001,"National Institute of Biomedical Imaging and Bioengineering (NIBIB), Bethesda, MD, USA",Undefined,,mimic-support@physionet.org,open,10.1038/sdata.2016.35; 10.1097/CCM.0b013e31820a92c6
0.3566,The Global Health Observatory,https://www.who.int/data/gho,"The GHO data repository is WHO's gateway to health-related statistics for its 194 Member States. It provides access to over 1000 indicators on priority health topics including mortality and burden of diseases, the Millennium Development Goals (child nutrition, child health, maternal and reproductive health, immunization, HIV/AIDS, tuberculosis, malaria, neglected diseases, water and sanitation), non communicable diseases and risk factors, epidemic-prone diseases, health systems, environmental health, violence and injuries, equity among others.",ready,GHO,Worldwide,,,,General Contact,gho_info@who.int,open,
0.3491,Overview of Medical Research in the Netherlands,https://onderzoekmetmensen.nl/en,"The Overview of Medical Research in the Netherlands (OMON), previously the Dutch Trial Register (LTR), is a register in which a part of the clinical studies in The Netherlands are registered. OMON currently includes all research from the old National Trial Register (NTR) and Toetsingonline registries and more recent studies registered in the Research Portal and CTIS. The Central Committee on Research Involving Human Subjects (CCMO) manages the register. CCMO is accountable to the Ministry of Health, Welfare and Sport and is a non-profit organisation. OMON is an official data provider to the International Clinical Trial Registry Platform (ICTRP) of the World Health Organization (WHO). ",ready,OMON,Netherlands,2022,,,OMON CCMO,omon@ccmo.nl,open,
0.3487,EU Clinical Trial Register,https://www.clinicaltrialsregister.eu/,"The EU Clinical Trials Register contains information on interventional clinical trials on medicines conducted in the European Union (EU), or the European Economic Area (EEA) which started after 1 May 2004.",ready,EUCTR,European Union,2004,,,,euctr@ema.europa.eu,open,
0.3433,LSHTM Data Compass,https://datacompass.lshtm.ac.uk/,"LSHTM Data Compass is a curated digital repository of research outputs produced with involvement by staff and students at the London School of Hygiene & Tropical Medicine, MRC Unit The Gambia, and/or the MRC/UVRI & LSHTM Uganda Research Unit. It hosts digital resources that are useful to verify and reproduce research findings, including: qualitative data, quantitative data, software code, processing scripts, search strategies, research instruments, and other outputs",ready,,United Kingdom,2015,,,LSHTM Research Data Manager,researchdatamanagement@lshtm.ac.uk,partially open,
0.3305,HCMI Searchable Catalog,https://www.cancer.gov/ccg/research/functional-genomics/hcmi,"HCMI Searchable Catalog is a continuously updated resource for querying the available next-generation models developed by the Human Cancer Models Initiative (HCMI). Within the Catalog, users can search by patient demographics, tumor, and model elements including age at diagnosis, sex, treatment information, clinical tumor diagnosis, primary site, clinical stage, and type of model (e.g. 3D-organoid, 2D-conditionally reprogrammed cells), open-access masked somatic MAF variants, etc.",ready,,United States,,National Institutes of Health,Government body,General inquiries,NCICCGenomics@mail.nih.gov,controlled,
0.3302,National Trauma Data Bank,https://www.facs.org/quality-programs/trauma/quality/national-trauma-data-bank/,"The NTDB, run by the American College of Surgeons, is the largest collection of trauma-registry data in the U.S., aggregating millions of anonymized patient records from hundreds of trauma centers. It includes data for both pediatric and adult patients from all levels of trauma centers, capturing demographics, injury details, treatments, outcomes (including mortality), and hospital events.",ready,NTDB,United States,1989,,,General Contact,TraumaQuality@facs.org,controlled,
0.3271,KWTRP Research Data Repository ,https://dataverse.harvard.edu/dataverse/kwtrp,"The KWTRP Research Data Repository is a research data repository that hosts datasets produced by the Kenya Medical Research Institute–Wellcome Trust Research Programme (KWTRP). It provides open access to data in the life sciences and public health, particularly in areas such as infectious diseases, epidemiology, and biomedical research.",ready,,Kenya,,,,General Contact,dgc@kemri-wellcome.org,partially open,
0.3239,DANS Data Station Life Sciences,https://lifesciences.datastations.nl/,"Domain-specific data repository for the Life Sciences, covering all disciplines from the health, medical as well as the green life sciences. This repository primarily serves research communities in The Netherlands, but is open to international researchers and projects that carry a connection to The Netherlands or Dutch research themes, institutes and programmes. The repository is part of the global Dataverse project, and through the interaction of DANS with the larger Dataverse community as wel as the participation in major national and European infrastructural data projects, the repository is continuously improved and enhanced.",ready,,Netherlands,2023,Royal Netherlands Academy of Arts and Sciences; Netherlands Organisation for Scientific Research,Government body; Research institute,DANS helpdesk,info@dans.knaw.nl,partially open,
0.3198,Sequencing Initiative Suomi,http://www.sisuproject.fi/,"The Sequencing Initiative Suomi (SISu) search engine offers a way to search for data on sequence variants in the Finnish population. It provides valuable summary data for researchers and clinicians as well as other researchers with an interest in genetics in Finland. With SISu, you can examine the attributes and appearance of different variants in Finnish cohorts and see their aggregate distribution in Finland visualized on a map. The SISu project is an international collaboration between multiple research groups aiming to build tools for genomic medicine.",ready,SISu,Finland,2014,"Finska lakaresellskapet, Helsinki, Finland; European Commission FP7; Academy of Finland, Helsinki, Finland; Doctoral Programme in Biomedicine, University of Helsinki, Helsinki, Finland; Healthy People 2010 program, Centers for Disease Control and Prevention, Atlanta, GA, USA; Healthy People 2010 program, Centers for Disease Control and Prevention, Atlanta, GA, USA; European Commission FP7",Government body; Undefined; Company; Research institute; University,Hannele Laivuori,hannele.laivuori@helsinki.fi,open,10.1371/journal.pone.0128524; 10.1371/journal.pgen.1004494
0.3191,Health Atlas,https://www.health-atlas.de/,"The Health Atlas - Local Data Hub/Leipzig is an alliance of medical ontologists, medical systems biologists and clinical trials groups to design and implement a multi-functional and quality-assured atlas. It provides models, data and metadata on specific use cases from medical research fields.",ready,,"Germany, United Kingdom",2008,,,Markus Löffler,markus.loeffler@imise.uni-leipzig.de,partially open,
0.311,Karolinska Institutet Data Repository,https://kib.ki.se/en/kidr,"KI Data Repository is the institutional data repository for Karolinska Institutet (KI). KI Data Repository accepts data where KI is the research principle, i.e. where KI is the organization responsible for the data. KI Data Repository’s mission is to curate, preserve, and provide continued access to KI’s research data.",ready,KI DR,Sweden,2025,"Karolinska Institutet, Stockholm, Sweden",Research institute,KI Data Repository,kidr@ki.se,partially open,
0.3071,Archived Clinical Research Datasets,https://www.ninds.nih.gov/current-research/research-funded-ninds/clinical-research/archived-clinical-research-datasets,"The data repository houses NINDS, Division of Clinical Research (DCR)- funded studies and trials in neurological areas such as Stroke, Parkinson’s disease, Migraine, Multiple Sclerosis and other neurological disorders. The data requests and approvals are managed by NINDS. Imaging, biosamples and other types of data are not supported by this repository. Contact your Program Official to determine if this repository is a good fit for your application. ",ready,,United States,,National Institutes of Health,Government body,,,controlled,
0.3071,Deutsches Register Klinischer Studien,https://www.bfarm.de/DE/Das-BfArM/Aufgaben/Deutsches-Register-Klinischer-Studien/_node.html,"The DRKS (German Clinical Trials Register) is a publicly accessible database for planned, ongoing, and completed clinical studies in Germany. It was established to ensure transparency in medical research and is recognized as a WHO Primary Registry. Investigators can register their trials there, and patients or physicians can search for trials they might join.",ready,DRKS,Germany,2008,,,Liesl Grobler,liesl.grobler@uct.ac.za,open,10.1016/s0140-6736(08)61498-1
0.3071,Clinical Trials Registry - India,https://ctri.nic.in/Clinicaltrials/login.php,"The Clinical Trials Registry- India (CTRI), hosted at the ICMR's National Institute for Research in Digital Health and Data Science (https://nims.icmr.org.in), is a free and online public record system for registration of clinical trials being conducted in India.",ready,CTRI,India,2007,,,General Contact,ctri@gov.in,open,
0.3071,Chile National Health Survey 2009-2010,http://epi.minsal.cl/bases-de-datos/,"The Chile National Health Survey 2009-2010 includes health status questionnaires including the SF-12, mental health questionnaires, physical activity questionnaires, and biological measurements taken during a physical exam.",deprecated,Chile NHS 2009,Chile,2009,,,jpalegre@minsal.cl,jpalegre@minsal.cl,not found,
0.3034,PubMed Central,http://www.ncbi.nlm.nih.gov/pmc/,PubMed Central (PMC) is the U.S. National Institutes of Health (NIH) digital archive of biomedical and life sciences journal literature.,ready,PMC,United States,1996,,,,pubmedcentral@ncbi.nlm.nih.gov,open,10.1093/nar/gkq1172; 10.1093/nar/gkr1184
0.3026,NICHD Data and Specimen Hub,https://dash.nichd.nih.gov/,The Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) Data and Specimen Hub (DASH) is a centralized resource that allows researchers to share and access de-identified data from studies funded by NICHD. DASH also serves as a portal for requesting biospecimens from selected DASH studies.,ready,NICHD DASH,United States,2015,,,General Contact,supportdash@mail.nih.gov,open,10.1038/sdata.2018.46
0.3014,UMCG Research Data Catalogue,https://umcgresearchdatacatalogue.nl/UMCG/ssr-catalogue/,"The UMCG Research Data Catalogue is a manually filled catalogue for large data collections (i.e. Databanks and Biobanks) of the University medical center Groningen. Currently you can find more than 60 resources in this catalogue, however this catalogue is still in development. In the future we hope to share all re-usable research data of the UMCG in this catalogue.",in_development,UMCG RDC,Netherlands,2023,,,Catalogue Operators,Researchdatacatalogue@umcg.nl,controlled,
0.2999,Population Health Data Archive,http://www.ncmi.cn/,"The National Population Health Data Center (NPHDC) is one of the 20 national science data center approved by the Ministry of Science and Technology and the Ministry of Finance. The Population Health Data Archive (PHDA) is developed by NPHDC relying on the Institute of Medical Information, Chinese Academy of Medical Sciences. PHDA mainly receives scientific data from science and technology projects supported by the national budget, and also collects data from other multiple sources such as medical and health institutions, research institutions and social individuals, which is oriented to the national big data strategy and the healthy China strategy. The data resources cover basic medicine, clinical medicine, public health, traditional Chinese medicine and pharmacy, pharmacy, population and reproduction. PHDA supports data collection, archiving, processing, storage, curation, verification, certification and release in the field of population health. Provide multiple types of data sharing and application services for different hierarchy users and help them find, access, interoperate and reuse the data in a safe and controlled environment. PHDA provides important support for promoting the open sharing of scientific data of population health and domestic and foreign cooperation.",ready,PHDA,China,2017,"Ministry of Science and Technology, Beijing, China",Government body,PHDA,rkjkpt@126.com,partially open,10.11925/infotech.2096-3467.2020.0954 
0.2918,Human Health Exposure Analysis Resource Data Repository,https://hheardatacenter.mssm.edu/,"Human Health Exposure Analysis Resource (HHEAR) Data Center provides a data repository for storing epidemiologic and biomarker data for CHEAR and HHEAR research studies to improve our knowledge of the comprehensive effects of environmental exposures on human health throughout the life course. Registered users will have access to publicly available deidentified datasets. In addition, there is a publicly accessible HHEAR ontology that provides a common vocabulary with unambiguous definitions of concepts and variables across studies to allow for pooling of studies.",ready,HHEAR,United States,,"National Institute of Environmental Health Sciences, National Institutes of Health; National Institutes of Health",Government body,HHEAR Support,HHEARsupport@mssm.edu,partially open,
0.2894,eHealth Ireland Open Data Portal,https://www.ehealthireland.ie/,"The eHealth Ireland Open Data Portal makes it easy to find and access data from across the Irish Health Sector. This includes information on available health services, statistics on hospital cases and national waiting lists, and performance of new digital initiatives, such as eReferrals.",deprecated,,Ireland,,"Department of Public Expenditure and Reform, Republic of Ireland",Government body,,questions@ehealthireland.ie,open,
0.2831,CHILDdb,https://childstudy.ca/childdb/,CHILDdb provides an opportunity for researchers to explore CHILD data to study genetic and environmental factors influencing child health and development. ,ready,,Canada,,"Canadian Institutes of Health Research; AllerGen NCE, Hamilton, ON, Canada",Government body; Consortium,General Contact,child@mcmaster.ca,open,
0.2807,CanPath Portal,https://portal.canpath.ca/,The Canadian Partnership for Tomorrow's Health (CanPath) Portal provides the research community with the necessary resources to identify epidemiological and biological data available from six participating cohorts to answer innovative research questions.,ready,,Canada,2008,,,General Contact,access@canpath.ca,partially open,
0.28,ClinVar,http://www.ncbi.nlm.nih.gov/clinvar/,"ClinVar is a freely accessible, public archive of reports of the relationships among human variations and phenotypes, with supporting evidence. ClinVar thus facilitates access to and communication about the relationships asserted between human variation and observed health status, and the history of that interpretation. ClinVar processes submissions reporting variants found in patient samples, assertions made regarding their clinical significance, information about the submitter, and other supporting data. The alleles described in submissions are mapped to reference sequences, and reported according to the HGVS standard. ClinVar then presents the data for interactive users as well as those wishing to use ClinVar in daily workflows and other local applications. ClinVar works in collaboration with interested organizations to meet the needs of the medical genetics community as efficiently and effectively as possible.",ready,ClinVar,United States,2013,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,,clinvar@ncbi.nlm.nih.gov,open,10.1093/nar/gkt1113
0.2782,National Database for Clinical Trials related to Mental Illness,https://data-archive.nimh.nih.gov/ndct/,"NDCT is an informatics platform for the sharing of clinical trial data funded by the National Institute of Mental Health. NDCT is a part of the NIMH Data Archive (NDA), powered by the NDAR (National Database for Autism Research) infrastructure.",deprecated,NDCT,United States,2014,ELIXIR Italy,Government body,Help email,NDAHelp@mail.nih.go,not found,
0.2782,Research Domain Criteria Database,http://rdocdb.nimh.nih.gov,"RDoCdb is an informatics platform for the sharing of human subjects data related to Mental Health research. This database may be used to plan for data submission, share your data, query data that is already shared, or to share your results related to a publication or finding. RDoCdb is is a part of the NIMH Data Archive (NDA), powered by the National Database for Autism Research (NDAR) infrastructure.",deprecated,RDoCdb,United States,,ELIXIR Italy,Government body,,rdocdbhelp@mail.nih.gov,not found,
0.2781,Global Initiative on Sharing Avian Influenza Data,https://www.gisaid.org/,"The GISAID Initiative promotes the international sharing of all influenza virus sequences, related clinical and epidemiological data associated with human viruses, and geographical as well as species-specific data associated with avian and other animal viruses, to help researchers understand how the viruses evolve, spread and potentially become pandemics.",ready,GISAID,Germany,2008,"Association of Public Health Laboratories (APHL); PREDEMICS (European Commission 2014-2017); United States Department of Health and Human Services; Max-Planck-Gesellschaft (MPG), Germany; State Secretariat for Education, Research and Innovation SERI",Government body; Undefined,,,partially open,
0.2777,Mexican Health and Aging Study,http://www.mhasweb.org/,"The MHAS study is a series of questionnaires distributed in waves, the fourth of which was fielded in the Fall of 2015. Research goals include, but are not limited to the following: examination of the aging processes and its disease and disability burden in a large representative panel of older Mexicans; evaluation of the effects of individual behaviors, early life circumstances, migration and economic history, community characteristics, and family transfer systems on multiple health outcomes; and comparison of the health dynamics of older Mexicans with comparably aged Mexican-born migrants in the U.S. and second generation Mexican-American using similar data from the U.S. population (for example the biennial Health and Retirement Study HRS) to assess the durability of the migrant health advantage.",ready,MHAS,"Mexico, United States",2001,"National Institute on Aging (NIA), Bethesda, MD, USA",Government body,Rebeca Wong,rewong@utmb.edu,open,10.21149/spm.v57s1.7593
0.2777,NSHD46 Database,https://datashare.ndph.ox.ac.uk/nshd46/index.cgi,"The NSHD46 Database is an online showcase of the National Survey of Health and Development 1946 birth cohort, listing variables and metadata collected over decades of follow‑up. It allows researchers to browse and discover clinical, biological, questionnaire, and life‑course data from the study before applying for access. While only non‑sensitive summary information is displayed, it helps researchers plan and request detailed data for health and population research.",ready,,United Kingdom,,,,General Contact,mrclha.enquiries@ucl.ac.uk,partially open,
0.2747,Longitudinal Aging Study Amsterdam Database,https://www.lasa-vu.nl/index.htm,"The Longitudinal Aging Study Amsterdam (LASA) is a long-term, multidisciplinary cohort study of older adults in the Netherlands, started in 1992, tracking physical, cognitive, emotional, and social functioning. It includes multiple measurement “waves” over decades, allowing researchers to study trajectories and predictors of aging. Access to LASA data requires submitting a research proposal, which is reviewed by a steering committee; the data are not open publicly but are shared under conditions to ensure scientific use.",ready,LASA Database,Netherlands,1992,Netherlands Organisation for Scientific Research,Research institute,General Contact,lasa@amsterdamumc.nl,controlled,
0.2704,AphasiaBank,https://aphasia.talkbank.org/,AphasiaBank is a shared database of multimedia interactions for the study of communication in aphasia. Access to the data in AphasiaBank is password protected and restricted to registered researchers.,ready,,United States,,National Institute for Deafness and other Communication Disorders; National Institutes of Health,Government body,Brian MacWhinney; Nan Bernstein Ratner,macw@cmu.edu; nratner@umd.edu,controlled,
0.264,AIDA Data Hub,https://datahub.aida.scilifelab.se/,"The AIDA Data Hub is national e-infrastructure for research and clinical innovation in data driven precision health, with a base in multi-modal diagnostics and medical imaging AI. They offer data, services, compute and storage resources, and advanced support to researchers, industry, and caregivers of national significance.",ready,,Sweden,,,,Joel Hedlund,joel.hedlund@liu.se,partially open,
0.2584,Biologic Specimen and Data Repository Information Coordinating Center,https://biolincc.nhlbi.nih.gov/home/,"The goal of Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) is to facilitate and coordinate the existing activities of the NHLBI Biorepository and the Data Repository and to expand their scope and usability to the scientific community through a single web-based user interface. BioLINCC provides a wealth of information on historical NHLBI clinical and epidemiologic studies which have data or biospecimens in the NHLBI repositories, and includes study summaries, references, and study operational documents.",ready,BioLINCC,United States,2008,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,General Contact,biolincc@imsweb.com,partially open,10.1136/thoraxjnl-2012-201876
0.2576,Kids First Data Resource,https://portal.kidsfirstdrc.org,"The Common Fund’s Gabriella Miller Kids First Pediatric Research Program (Kids First) has developed the Kids First Data Resource, a large-scale data resource to help researchers uncover new insights into the biology of childhood cancer and structural birth defects. It provides clinically annotated genomic data and is integrated with several tools to accelerate pediatric disease research. The Kids First Data Resource Portal allows users to query, or search, Kids First datasets, build virtual cohorts, or collections, of individual participants, and identify datasets for analysis. CAVATICA, built by Seven Bridges Genomics, allows users to run bioinformatics workflows in a cloud-based environment.",ready,,United States,,"Eunice Kennedy Shriver National Institute of Child Health and Human Development; NIH Common Fund; National Human Genome Research Institute; National Cancer Institute, National Institutes of Health; National Heart, Lung and Blood Institute, National Institutes of Health; National Institutes of Health","Research institute, Government body; Government body; Government body, Research institute",Support,support@kidsfirstdrc.org,controlled,
0.2541,Parkinson's Progression Markers Initiative,http://www.ppmi-info.org,"PPMI is an observational clinical study to verify progression markers in Parkinson’s disease. The study is designed to establish a comprehensive set of clinical, imaging and biosample data that will be used to define biomarkers of PD progression. Once these biomarkers are defined, they can be used in therapeutic studies. The clinical, imaging and biologic data are accessible to researchers in real time through the website. If used as a public resource without login, this resource functions as a dashboard.",ready,PPMI,United States,,The Michael J Fox Foundation for Parkinson's Research,Undefined,General Contact,webmaster@loni.usc.edu,controlled,10.1016/j.pneurobio.2011.09.005; 10.1002/mds.26374
0.2538,EORTC clinical trials,http://www.eortc.org/clinical-trials/,European Organisation for Research and Treatment of Cancer database of clinical trials.,ready,EORTC,European Union,,European Organisation for Research and Treatment of Cancer,Consortium,,,controlled,
0.251,PhenX Toolkit,https://www.phenxtoolkit.org,"The PhenX (consensus measures for Phenotypes and eXposures) Toolkit is a web-based catalog of recommended, standard measures of phenotypes and environmental exposures for use in biomedical research. The PhenX Toolkit offers well-established, broadly validated measures of phenotypes and exposures relevant to investigators in human genomics, epidemiology, and biomedical research. The measures in the Toolkit are selected by Working Groups of domain experts using a consensus process. The Toolkit provides detailed protocols, information about the measures, and tools to help investigators incorporate PhenX measures into their studies.",ready,PhenX Toolkit,United States,2007,"Office of Behavioral and Social Sciences Research (OBSSR), NIH, USA; National Institutes of Health (NIH), Bethesda, MD, USA; National Institute on Drug Abuse (NIDA), Bethesda, MD, USA; National Human Genome Research Institute (NHGRI), Bethesda, MD, USA",Government body,PhenX Staff,contact@phenxtoolkit.org,partially open,10.1002/0471142905.hg0121s86; 10.1016/j.annepidem.2012.08.004
0.2507,Comprehensive Epidemiological Data Resource,https://oriseapps.orau.gov/cedr/,The Comprehensive Epidemiologic Data Resource (CEDR) is the U.S. Department of Energy (DOE) electronic database comprised of health studies of DOE contract workers and environmental studies of areas surrounding DOE facilities.,ready,CEDR,United States,,,,Linh Duong - Program Manager; David Girardi - Project Manager,linh.duong@hq.doe.gov; cedr@orau.org,open,
0.2484,Mammography Image Analysis Society Database,https://www.repository.cam.ac.uk/handle/1810/250394,"Record does not exist anymore: Mammography Image Analysis Society Database. The record with identifier content https://doi.org/10.25504/FAIRsharing.qky19z was invalid.Records previously linked: [3508, 3513]. Organisations previously linked: [2510]. Maintainers previously linked: [548]. Licences previously linked: [158].",ready,,United Kingdom,1994,,,John Suckling,js369@cam.ac.uk,not found,
