name,homepage,description,status,abbreviation,countries,year_created,funder,funder_type,contact_name,contact_email,data_access_condition,publications
Sequence Read Archive,http://www.ncbi.nlm.nih.gov/sra,"The SRA is NIH's primary archive of high-throughput sequencing data and is part of the International Nucleotide Sequence Database Collaboration (INSDC) that includes at the NCBI Sequence Read Archive (SRA), the European Bioinformatics Institute (EBI), and the DNA Database of Japan (DDBJ). Data submitted to any of the three organizations are shared among them. SRA accepts data from all kinds of sequencing projects including clinically important studies that involve human subjects or their metagenomes, which may contain human sequences. These data often have a controlled access via dbGaP (the database of Genotypes and Phenotypes).",ready,SRA,United States,2007,,,General Contact,sra@ncbi.nlm.nih.gov,open,10.1093/nar/gkm1000; 10.1093/nar/gkr854; 10.1186/s13742-015-0064-7; 10.5281/zenodo.15677383
Immunology Database and Analysis Portal,https://immport.org,"The Immunology Database and Analysis Portal (ImmPort) data repository was created for the exploration of clinical and basic research data on immunology and associated findings. ImmPort intends to promote effective data sharing across the basic, clinical and translational research communities. It collects data both from clinical and mechanistic studies on human subjects and from immunology studies on model organisms. The ImmPort ecosystem consists of four components: private data, shared data, data analysis, and resources-for data archiving, dissemination, analyses, and reuse.",ready,ImmPort,United States,2007,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,Jeff Wiser,jeff.wiser@ngc.com,partially open,10.1007/s12026-014-8516-1; 10.1002/cyto.a.22037; 10.1002/cyto.b.20554; 10.1038/sdata.2018.15
BioSamples,https://www.ebi.ac.uk/biosamples/," The BioSamples database (https://www.ebi.ac.uk/biosamples/) at the European Bioinformatics Institute (EMBL-EBI) is a core infrastructure resource that provides a centralised platform for the storage, curation, and dissemination of biological sample metadata. BioSamples holds sample descriptions across diverse datasets, enhancing their reusability and integrability in accordance with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles. It provides links to assays and specific samples, and accepts direct submissions of sample information.",ready,BioSD,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2010,European Commission; European Commission FP7,Government body,Support email,biosamples@ebi.ac.uk,open,10.1093/nar/gkt1081; 10.1093/nar/gkr937; 10.1093/nar/gky1061; 10.1093/nar/gkab1046; 10.1093/nar/gkaf1133
Genomics England | PanelApp,https://panelapp.genomicsengland.co.uk/,"Genomics England PanelApp is a publically-available knowledgebase that allows virtual gene panels related to human disorders to be created, stored and queried. It includes a crowdsourcing tool that allows genes to be added or reviewed by experts throughout the worldwide scientific community, providing an opportunity for the standardisation of gene panels, and a consensus on which genes have sufficient evidence for disease association. The diagnostic grade ‘Green’ genes and their modes of inheritance in the Version 1+ PanelApp virtual gene panels are used to direct the variant tiering process for the interpretation of genomes in the 100,000 Genomes Project and for the National Health Service England Genomic Medicine Service. As panels in PanelApp are publically available, they can also be utilised by others. Experts are asked to register (https://panelapp.genomicsengland.co.uk/accounts/registration/) in order to review and rate the genes on the panel to indicate whether there is a diagnostic-grade level of evidence for the gene to be implicated in a given disease. Bioinformaticians can access the data via the PanelApp API (https://panelapp.genomicsengland.co.uk/#!API). More detailed background information, instructions and updates can be found on the PanelApp homepage tabs.",ready,PanelApp,United Kingdom,2015,,,PanelApp team,panelapp@genomicsengland.co.uk,open,10.1038/s41588-019-0528-2
TARKI Data Archive,https://adatbank.tarki.hu/en/,"TARKI is the Hungarian Social Science data archive. It is a member of CESSDA-ERIC and the European Association of Social Science Data Archives. There are more than 800 social science resources in the TÁRKI archive, representing more than 35 years of survey research in Hungary.",ready,TARKI,Hungary,1985,,,General Contact,tarki@tarki.hu,controlled,
The WHO Global Clinical Platform for COVID-19,https://www.who.int/teams/health-care-readiness/covid-19/data-platform,"The WHO has created a global clinical platform of patient-level anonymized clinical data. The Platform is a secure, limited-access, password-protected platform hosted on REDCap.
",ready,,Worldwide,2019,,,Platform contact,COVID_ClinPlatform@who.int,controlled,
Global.health,https://global.health/,"Global.health is the first of its kind, easy-to-use global repository and visualization platform that enables open access to real-time de-identified epidemiological line-list case data. Data about Covid-19, ebola and Monkeypox are available.",ready,,"South Africa, United Kingdom, United States",2020,"Google (United States); Oxford Martin School; Rockefeller Foundation, New-York, NY, USA",Charitable foundation; Company; Research institute,,,controlled,
International COVID-19 Data Alliance,https://icoda-research.org/,"Convened by Health Data Research UK, the national institute for health data in the UK, ICODA was an open and inclusive global collaboration of leading life science, philanthropic and research organisations that came together to harness the power of health data to respond to the COVID-19 pandemic. Building on the ICODA programme, HDR UK has now convened the HDR Global programme which seeks to assist with data science skills and enable trustworthy data access, re-use and analysis in regions, communities and disease areas, where evidence to tackle threats to public health is lacking
",deprecated,ICODA,"United Kingdom, Worldwide",2020,"Mastercard (United Kingdom); Bill and Melinda Gates Foundation; Microsoft Corporation; Chan Zuckerberg Initiative, Redwood City, CA, USA; The Wellcome Trust; Minderoo Fundation",Charitable foundation; Company,Andrew Morris,andrew.morris@hdruk.ac.uk,controlled,
Dutch National COVID-19 metadata portal,https://covid19initiatives.health-ri.nl/p/ProjectOverview,"The Dutch national COVID-19 metadata portal describes the content of the collections and type of data. The underlying data remains at the source, but where possible a link to the data or the data request procedure are provided on the portal. The first health care data sets in the portal are coming from observational studies funded by ZonMw, NFU COVID-19 clinical research data, collaborating top clinical hospitals (STZ), as well as other regional hospitals. However, the portal is open to any health care provider wishing to make their COVID-19 data available for research. ",ready,COVID-NL metadata,Netherlands,2021,"The Netherlands Organisation for Health Research and Development (ZonMw), The Hague, The Netherlands",Government body,General contact,info@health-ri.nl,partially open,
Coronavirus and Celiac Disease Reporting Database,https://covidceliac.org/,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-Celiac) is an international, pediatric and adult database to monitor and report on outcomes of COVID-19 occurring in patients with celiac disease. We encourage clinicians worldwide to report ALL cases of COVID-19 in patients with celiac disease, regardless of severity (including asymptomatic patients detected through public health screening).",deprecated,,United States,2020,,,Benjamin Lebwohl,BL114@cumc.columbia.edu,not found,
Ensembl,http://www.ensembl.org/,"Ensembl creates, integrates and distributes reference datasets and analysis tools that enable genomics. Ensembl is a genome browser that supports research in comparative genomics, evolution, sequence variation and transcriptional regulation. Ensembl annotate genes, computes multiple alignments, predicts regulatory function and collects disease data.",ready,,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",1999,"European Commission FP7; The Wellcome Trust, UK",Charitable foundation; Government body,Help Desk,helpdesk@ensembl.org,open,10.1093/bioinformatics/btu613; 10.1186/s13059-016-0974-4; 10.1101/gr.137901.112; 10.1101/gr.1863004; 10.1101/gr.1857204; 10.1101/gr.135350.111; 10.1002/0471142905.hg0611s69; 10.1016/j.tig.2004.04.002; 10.1093/database/bar030; doi:10.1093/nar/gku1010; 10.1093/nar/gkj133; 10.1093/nar/gkt1196; 10.1093/database/bav119; 10.1093/database/baw093; 10.1186/1471-2164-11-295; 10.1093/bfgp/elm025; 10.1093/nar/gkq1064; 10.1093/nar/gkr991; 10.1093/nar/gks1236; 10.1093/database/bav127; 10.1093/database/baw053; 10.1101/gr.1866304; 10.1093/nar/gki138; 10.1101/gr.1862204; 10.1186/s13059-015-0621-5; 10.1093/bioinformatics/btt737; 10.1093/nar/gkw1104; 10.1038/ng0806-853a; 10.1093/nar/gkv1157; 10.1101/gr.076521.108; 10.1093/nar/gkm988; 10.1186/1471-2164-11-293; 10.1093/nar/gkg083; 10.1101/gr.073585.107; 10.1186/1471-2105-11-238; 10.1093/nar/30.1.38; 10.1093/nar/gkl996; 10.1093/bioinformatics/btq330; 10.1093/nar/gkn828; 10.1093/nar/gkp972; 10.1093/database/bav096; 10.1101/gr.1859804; 10.1101/gr.1858004; 10.1093/nar/gky1113; 10.1093/nar/gkz966; 10.1186/1471-2105-11-240; 10.1093/nar/gkab1049; 10.1093/nar/gkac958
NCBI Genetic Sequence Database,https://www.ncbi.nlm.nih.gov/genbank/,"GenBank ® is the NIH genetic sequence database of annotated collections of all publicly available DNA sequences. GenBank is part of an International Nucleotide Sequence Database Collaboration, which comprises the DNA DataBank of Japan (DDBJ), the European Nucleotide Archive (ENA), and GenBank at NCBI. The GenBank database is designed to provide and encourage access within the scientific community to the most up-to-date and comprehensive DNA sequence information, and release available versioned collections every two months from the ftp site. As part of the International Nucleotide Sequence Database Collaboration (INSDC), a long-standing foundational initiative (operating between DDBJ, EMBL-EBI and NCBI), the INSDC covers the spectrum of data raw reads, through alignments and assemblies to functional annotation, enriched with contextual information relating to samples and experimental configurations. GenBank data submission types include:  mRNA sequences, Prokaryotic genes, Eukaryotic genes, rRNA and/or ITS, viral sequences, transposon or insertion sequences, microsatellite sequences, pseudogenes, cloning vectors, phylogenetic or population sets, and non-coding RNAs.
",ready,GenBank,"Japan, United States, European Union",1982,National Institutes of Health,Government body,NCBI Helpdesk,info@ncbi.nlm.nih.gov,open,10.1093/nar/gkr1202; 10.1093/nar/gkq1079; 10.1093/nar/gkm929; 10.1093/nar/gkn723; 10.1093/nar/gks1195; 10.1093/nar/gkt1030; 10.1093/nar/gkx1094; 10.1093/nar/gkz956; 10.1093/nar/gky989; 10.1093/nar/gkw1070; 10.1093/nar/gkv1276; 10.1093/nar/gku1216; 10.1186/s12859-020-3537-3; 10.1093/nar/gkae1114
Disaster Lit,https://disasterinfo.nlm.nih.gov/disaster-lit,"Disaster Lit: Database for Disaster Medicine and Public Health is the National Library of Medicine (NLM) database of links to disaster medicine and public health documents available on the Internet at no cost. Documents include expert guidelines, research reports, conference proceedings, training classes, fact sheets, websites, databases, and similar materials for a professional audience. NLM selects materials from over 1,400 non-commercial publishing sources and supplements disaster-related resources from PubMed (biomedical journal literature) and MedlinePlus (health information for the public).",deprecated,Disaster Lit,United States,2002,,,General contact,dimrc@nlm.nih.gov,not found,
European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en,"ECDC's main role as an agency of the European Union is to strengthen Europe’s defences against communicable diseases, worked together with all EU/EEA countries in response to public health threats and emerging diseases. Part of the ECDC mission is to provide search for, collect, collate, evaluate and disseminate relevant scientific and technical data.",ready,ECDC,European Union,2016,,,Andrea Ammon,Andrea.Ammon@ecdc.eu.int,open,
Infectious Diseases Data Observatory,https://www.iddo.org/,"The Infectious Diseases Data Observatory (IDDO) assembles clinical, laboratory and epidemiological data on a collaborative platform to be shared with the research and humanitarian communities. The data are analysed to generate reliable evidence and innovative resources that enable research-driven responses to the major challenges of emerging and neglected infections. Data is organized into research themes, with both submitters storing and requesters asking for data via the central IDDO platform. Certain data (listed in data inventories or available via various portals) is available publicly, while the rest must be applied and permission received for.",ready,IDDO,United Kingdom,2016,"Bill and Melinda Gates Foundation, Seattle, Washington, USA",Charitable foundation,Professor Philippe Guérin,info@iddo.org,controlled,
Center for International Blood and Marrow Transplant Research ,https://www.cibmtr.org/Pages/index.aspx,"The CIBMTR is dedicated to improving survival, treatment, and quality of life for transplant patients. With more than 1,650 publications, the CIBMTR conducts practice-changing research that helps patients and physicians.
",ready,CIBMTR,United States,2004,"Be The Match; Medical College of Wisconsin (MCW), Wisconsin, USA",Charitable foundation; University,,,partially open,
Consortium for Clinical Characterization of COVID-19 by EHR,https://covidclinical.net/,"4CE is an international consortium for electronic health record (EHR) data-driven studies of the COVID-19 pandemic. The goal of this effort—led by the i2b2 international academics users group—is to inform doctors, epidemiologists and the public about COVID-19 patients with data acquired through the health care process.",ready,4CE,"Brazil, Singapore, United States, European Union",2020,,,,,controlled,
American Society of Clinical Oncology (ASCO) Survey on COVID-19 in Oncology Registry,https://old-prod.asco.org/covid-resources/asco-registry,"The American Society of Clinical Oncology (ASCO) Survey on COVID-19 in Oncology Registry (ASCO Registry) aims to help the cancer community learn more about the patterns of symptoms and severity of COVID-19 among patients with cancer, as well as how COVID-19 is impacting the delivery of cancer care and patient outcomes. The ASCO Registry is designed to collect both baseline and follow-up data on how the virus impacts cancer care and cancer patient outcomes during the COVID-19 pandemic and into 2021.",deprecated,ASCO Registry,United States,2020,,,General contact,CENTRA@asco.org,partially open,
CITF DATA PORTAL,https://portal.citf.mcgill.ca/,"The COVID-19 Immunity Task Force Data Portal, run by McGill University, centralizes and standardizes individual-level epidemiological and immunological data from CITF-funded studies across Canada. It enables researchers to explore harmonized variables, submit requests for data access according to established policies, and track approved research projects. The portal supports investigations into SARS-CoV-2 infection history, vaccine effectiveness, immunity (both humoral and cellular), and related public health questions.",ready,,Canada,,,,General Contact,info@citfdatabank.ca,controlled,
Novartis Clinical Trial Results Database,https://www.novartis.com/ca-en/healthcare-professionals/novartis-clinical-trials,Novartis launched the results website in 2005 becoming one of the first companies to publically post results from Phase 2b-4 interventional trials. The Novartis position evolved over time to include public disclosure of results from Phase 1- 2a interventional trials in patients.,ready,,"France, Switzerland",2005,,,General contact,icm.phfr@novartis.com,open,
Pediatric COVID-19 Case Registry,https://www.pedscovid19registry.com/,"The COVID-19 clinical presentation is poorly defined in pediatric populations, as most of the reported known cases are adults. We aim to describe the epidemiology, clinical presentation, management, and outcomes associated with COVID-19 ​among pediatric patients across the United States of America. ​​ 
",deprecated,,United States,,,, Pediatric COVID-19 Case Registry Coordinators,PIDTRANCoordinators@stjude.org,controlled,
Humanitarian Data Exchange,https://data.humdata.org/,The Humanitarian Data Exchange (HDX) is an open platform for sharing data across crises and organisations. HDX was created to make humanitarian data easy to find and use for analysis.,ready,HDX,Worldwide,2014,,,General contact,hdx@un.org,open,
COVID-19 Host Genetics Initiative,https://www.covid19hg.org/,"The COVID-19 host genetics initiative brings together the human genetics community to generate, share, and analyze data to learn the genetic determinants of COVID-19 susceptibility, severity, and outcomes. Such discoveries could help to generate hypotheses for drug repurposing, identify individuals at unusually high or low risk, and contribute to global knowledge of the biology of SARS-CoV-2 infection and disease.


",deprecated,COVID-19 hg,"Finland, United States",2020,,,Andrea Ganna,aganna@broadinstitute.org,open,10.1038/s41431-020-0636-6
National Institute of Health - National COVID Cohort Collaborative,https://covid.cd2h.org/,"The National COVID Cohort Collaborative (N3C) is a collaboration among the NCATS-supported Clinical and Translational Science Awards (CTSA) Program hubs, the National Center for Data to Health (CD2H), distributed clinical data networks (PCORnet, OHDSI, ACT, TriNetX), and other partner organizations, with overall stewardship by NIH’s National Center for Advancing Translational Sciences (NCATS). The N3C aims to improve the efficiency and accessibility of analyses with COVID-19 clinical data, expand our ability to analyze and understand COVID, and demonstrate a novel approach for collaborative pandemic data sharing.
",ready,N3C,United States,2020,National Institutes of Health; National Center for Advancing Translational Sciences,Government body; Research institute,Melissa A. Haendel,haendel@ohsu.edu,controlled,
European Mouse Mutant Archive,https://www.infrafrontier.eu/emma/,"The European Mouse Mutant Archive – EMMA is the INFRAFRONTIER’s non-profit repository for the collection, archiving (via cryopreservation) and distribution of relevant mutant mouse and rat strains essential for basic biomedical research. The laboratory mouse is the most important mammalian model for studying genetic and multi-factorial diseases in human beings. The comprehensive physical and data resources of EMMA support basic biomedical and preclinical research, and the available research tools and mouse/rat models of human disease offer the opportunity to develop a better understanding of molecular disease mechanisms and may provide the foundation for the development of diagnostic, prognostic and therapeutic strategies. ",ready,EMMA,European Union,2009,BY-COVID (BeYond COVID) Project; European Joint Programme on Rare Diseases; European Commission Horizon 2020; European Commission Horizon 2020; EOSC-Life; European Commission FP7; European Commission Horizon 2020,Government body; Consortium,General Enquiries,emma@infrafrontier.eu,partially open,10.1093/bfgp/elm018; 10.1093/nar/gkp799; 10.1007/s00335-016-9642-y; 10.1093/nar/gku1193; 10.1007/s00335-025-10174-4
Arca Dados,https://arcadados.fiocruz.br/,"Arca Dados is Fiocruz's official research data repository. Its mission is to be the platform for archiving, publishing, disseminating, preserving and sharing digital research data produced by the Fiocruz community and/or in partnership with other research institutes or bodies, following the FAIR principles.",ready,,Brazil,2019,,,Vanessa Jorge,vanessa.jorge@fiocruz.br,partially open,
British Association of Dermatologists Biologic and Immunomodulators Register,http://www.badbir.org/,"British Association of Dermatologists Biologic and Immunomodulators Register (BADBIR) is a clinical study to monitor the long-term safety of drugs used to treat psoriasis.
",ready,BADBIR,"Ireland, United Kingdom",2011,,,General contact,badbir@manchester.ac.uk,controlled,10.1111/j.1365-2133.2012.10835.x
The Network Data Exchange,https://www.ndexbio.org,"NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models. The NDEx Project maintains a web-accessible public server, a documentation website, provides seamless connectivity to the Cytoscape desktop application as well as programmatic access using a variety of languages including Python, Java and R. NDEx users can easily create accounts or sign in using their Google credentials thanks to the supported open authentication (OAUTH2) method and mint DOIs for their networks to use in publications or include in other resources for long term access.",ready,NDEx,United States,2013,"National Cancer Institute, Rockville, MD, USA; California Digital Library (CDL), University of California, Oakland, CA, USA",Government body; University,Rudolf T. Pillich,rpillich@ucsd.edu,open,10.1007/978-1-4939-6783-4_13; 10.1016/j.cels.2015.10.001; 10.1158/0008-5472.CAN-17-0606; 10.1002/cpz1.258
Better Outcomes Registry & Network,https://www.bornontario.ca/en/index.aspx,"Funded by the Government of Ontario, the Better Outcomes Registry & Network (BORN) is Ontario's prescribed perinatal, newborn and child registry with the role of facilitating quality care for families across the province. BORN collects, interprets, shares and rigorously protects high-quality data.
",ready,BORN Ontario,Canada,2020,,,COVID Inquiries; General Inquiries,covid@bornontario.ca; info@bornontario.ca,controlled,
Coronavirus and Psoriasis Reporting Registry,https://school.wakehealth.edu/Departments/Dermatology/SECURE-Psoriasis,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-Psoriasis) is an international, pediatric and adult registry to monitor and report on outcomes of COVID-19 occurring in psoriasis patients.",ready,,United States,2020,"National Psoriasis Foundation, Portland, OR, United States",Charitable foundation,General contact,COVID_PSO@wakehealth.edu,open,10.1080/09546634.2020.1753996
The European Genome-phenome Archive,https://ega-archive.org/,"The European Genome-phenome Archive (EGA) is a service for permanent archiving and sharing of personally identifiable genetic, phenotypic, and clinical data generated for the purposes of biomedical research projects or in the context of research-focused healthcare systems. Access to data must be approved by the specified Data Access Committee (DAC).",ready,EGA,"Spain, United Kingdom",2007,Ministerio de Asuntos Economicos y Transformacion Digital; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica; Centro de Excelencia Severo Ochoa; The Wellcome Trust; Medical Research Council,Charitable foundation; Government body,EGA Helpdesk,helpdesk@ega-archive.org,controlled,10.1038/ng.3312; 10.1093/nar/gkab1059
Addgene,https://www.addgene.org/,"Addgene is a non-profit plasmid repository dedicated to helping scientists around the world share high-quality plasmids. Addgene are working with thousands of laboratories to assemble a high-quality library of published plasmids for use in research and discovery. By linking plasmids with articles, scientists can always find data related to the materials they request.",ready,Addgene,"United Kingdom, United States",2004,Addgene,Company,General Contact Email,info@addgene.org,open,10.1038/nbt.2177; 10.1038/505272a; 10.1093/nar/gku893
Genome Warehouse,https://ngdc.cncb.ac.cn/gwh,"The Genome Warehouse (GWH) is a public archival resource housing genome-scale data for a wide range of species. GWH accepts full genomes of eukaryotes and prokaryotes as well as metagenomes. For each collected genome assembly, GWH incorporates descriptive information including biological sample metadata, genome assembly metadata, sequence data and genome annotation, and offers standardized quality control for genome sequence and annotation.",ready,GWH,China,2016,,,GWH curator,gwhcuration@big.ac.cn,open,10.1093/gpbjnl/qzaf010; 10.1016/j.gpb.2021.04.001
The ExtraCorporeal Membrane Oxygenation in COVID-19,https://www.elso.org/ecmo-resources/covid-19.aspx,The ExtraCorporeal Membrane Oxygenation (ECMO) in COVID-19 website as a resource for centers who may be called on to manage COVID-19 patients.,ready,ECMO in COVID-19,United States,2020,,,Ryan P Barbaro,barbaror@med.umich.edu,open,10.1097/MAT.0000000000001422; 10.1097/MAT.0000000000001173; S0140-6736(20)32008-0
European Data Portal,https://www.europeandataportal.eu/en,The European Data Portal harvests the metadata of Public Sector Information available on public data portals across European countries. Information regarding the provision of data and the benefits of re-using data is also included.,ready,EDP,European Union,2014,European Union (EU),Government body,,,open,
Coronavirus and Atopic Dermatitis (AD) / Alopecia Reporting Database,https://www.secure-derm.com/,"Given the interest in the emerging and evolving coronavirus (COVID-19) pandemic and the questions regarding how this will impact patients with atopic dermatitis (AD) or alopecia who are treated with or without systemic immunomodulating medication, we have created a number of secure, online, de-identified Personal Health Identifier (PHI) – free reporting registries and an anonymous patient reported survey.",deprecated,SECURE-DERM,"Ireland, Netherlands, United Kingdom",2020,"National and International Skin Registry Solutions (NISR), Dublin, Ireland",Undefined,General contact,info@nisrsolutions.com,not found,10.1111/bjd.19161; 10.1016/j.jaad.2020.06.050
The American Society for Hematology Research Collaborative COVID-19 Registry for Hematologic Malignancy,https://www.ashresearchcollaborative.org/s/covid-19-registry,"The ASH Research Collaborative (ASH RC) COVID-19 Registry for Hematology, a global public reference tool that is part of the ASH RC Data Hub platform, captures data on individuals who test positive for COVID-19, have a hematologic condition (past or present) and/or have experienced a post-COVID-19 hematologic complication. As data are analyzed, real-time observational summaries are available via a dashboard.",deprecated,ASH RC COVID-19 Registry for Hematology,United States,2020,,,,info@ashrc.org,open,
AccessClinicalData@NIAID,https://accessclinicaldata.niaid.nih.gov/,"AccessClinicalData@NIAID is a NIAID cloud-based, controlled access, secure data platform that enables sharing of and access to reports and data sets from NIAID COVID-19 and other sponsored clinical trials for the basic and clinical research community.",ready,,United States,,National Institutes of Health,Government body,,,controlled,
