cord_uid,doi,title,data_availability_statement,das_section,das_location
90f8spxe,10.1101/2020.05.23.111385,COVIDep: A web-based platform for real-time reporting of vaccine target recommendations for SARS-CoV-2,"The SARS-CoV-2 full genome sequence data is periodically downloaded from the Global Initiative on Sharing Avian Influenza Database (GISAID; www.gisaid.org). The SARS-CoV epitope sequence data was downloaded from the Virus Pathogen Database and Analysis Resource (ViPR; www.viprbrc.org). The population coverage statistics of HLA alleles were obtained from the Immune Epitope Database and Analysis Resource (IEDB; www.iedb.org).
The source code for the developed platform is available at the COVIDep GitHub repository (https://github.com/COVIDep). and their overlap with emerging experimental results. The majority of the identified epitopes (24/29; shown in a shaded box) are located in the S2 functional subunit of the spike protein, reported to be a main region targeted by crossreactive 3 and cross-neutralizing 4 antibodies. The epitopes with IEDB IDs 70719 and 15972 overlap with regions in the S1 functional subunit of the spike protein reported to be targeted by cross-neutralizing antibodies 5,6 . The specific overlapping residues are underlined. The epitopes with IEDB IDs 9094, 12426, and 558417 overlap with an epitope (located at positions 1178-1189) reported to be targeted by neutralizing antibodies in a preclinical trial of a SARS-CoV-2 vaccine candidate 10 . Interestingly, the partial overlaps of the (consecutive) epitopes 9094 and 12426/558417 cover the experimentally-reported epitope 10 completely. Note that epitopes 12426 and 558417 share the same sequence; they have different IDs in the IEDB database due to differences in the associated experimental procedures. The epitopes with IEDB IDs 52020 and 16183 overlap with the regions reported to be recognized by neutralizing antibodies in the sera of recovered COVID-19 patients 8 . 9 . The specific overlapping residues are underlined. In a preclinical vaccine trial 11 , T cell responses have also been recorded against a protein region comprising the identified epitope with IEDB ID 71663. The epitopes with IEDB IDs 36724 and 71663 were originally reported based on positive T cell assays for SARS-CoV, while those with IEDB IDs 54507, 54725, and 37289 were reported based on positive MHC binding assays.",Data availability; Code availability,body_text
x6q2nfim,10.1186/s13019-022-01811-z,The effect of Ulinastatin on postoperative course in cardiopulmonary bypass patients in Asia: a meta-analysis of randomized controlled trials,Please contact the author for data requests.,Availability of data and materials,back_matter
uvdwxnly,10.1186/s12885-022-09320-x,The impact of anti-tumor approaches on the outcomes of cancer patients with COVID-19: a meta-analysis based on 52 cohorts incorporating 9231 participants,"Not applicable.
The datasets generated during and/or analyzed during the current study are available from the corresponding author upon reasonable request.",Code availability; Availability of data and materials,back_matter
nvcbxfw9,10.3389/fphar.2022.764774,The Adverse Reactions of Lianhua Qingwen Capsule/Granule Compared With Conventional Drug in Clinical Application: A Meta-Analysis,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author.",DATA AVAILABILITY STATEMENT,body_text
pi40yuhq,10.1186/s12889-022-13409-0,Social media use and mental health during the COVID-19 pandemic in young adults: a meta-analysis of 14 cross-sectional studies,The data that support the findings of this study are available from the corresponding author upon reasonable request.,Availability of data and materials,back_matter
bj7km9z9,10.1155/2021/2571912,Value of the Neutrophil-Lymphocyte Ratio in Predicting COVID-19 Severity: A Meta-analysis,The data of Table 1 used to support the findings of this study are included within the article (see References).,Data Availability,body_text
hsezuawo,10.1038/s41398-021-01501-9,Public mental health problems during COVID-19 pandemic: a large-scale meta-analysis of the evidence,"Study protocols and hypotheses were preregistered on the Open Science Framework (OSF) (https://osf.io/a5vmk/). Raw data, protocols, and analysis scripts are available openly at the OSF (https://osf.io/a5vmk/).",DATA AND CODE AVAILABILITY,body_text
tpqc95c9,10.3389/fphar.2021.627751,Comparative Efficacy of Seven Kinds of Chinese Medicine Injections in Acute Lung Injury and Acute Respiratory Distress Syndrome: A Network Meta-analysis of Randomized Controlled Trials,"The original contributions presented in the study are included in the article/Supplementary material, further inquiries can be directed to the corresponding authors.",DATA AVAILABILITY STATEMENT,body_text
fvcbhpg1,10.3389/fmed.2021.779914,Prevalence of Insomnia Symptoms in Older Chinese Adults During the COVID-19 Pandemic: A Meta-Analysis,The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found in the article/Supplementary Material.,Data Availability Statement,body_text
yy8av3cq,10.3389/fnut.2022.837719,Function Over Mass: A Meta-Analysis on the Importance of Skeletal Muscle Quality in COVID-19 Patients,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author.",DATA AVAILABILITY STATEMENT,body_text
od3i4og7,10.1186/s12859-021-04349-4,RPocket: an intuitive database of RNA pocket topology information with RNA-ligand data resources,All the supplementary data and materials can be downloaded from the homepage of the RPocket at http:// zhaos erver. com. cn/ RPock et/ RPock et. html.,Availability of data and materials,back_matter
xlfjg5lf,10.1093/nar/gkaa941,ADPriboDB 2.0: an updated database of ADP-ribosylated proteins,ADPriboDB is free and publicly available at http://adpribodb.leunglab.org/.,DATA AVAILABILITY,body_text
ybtwdhnl,10.3389/fnut.2022.850425,"Probiotics, Prebiotics, and Synbiotics Improve Uremic, Inflammatory, and Gastrointestinal Symptoms in End-Stage Renal Disease With Dialysis: A Network Meta-Analysis of Randomized Controlled Trials","The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author.",Data Availability Statement,body_text
ls5gychz,10.1186/s12889-021-11546-6,Obesity is associated with severe disease and mortality in patients with coronavirus disease 2019 (COVID-19): a meta-analysis,The datasets used and/or analyzed during the current meta-analysis are available from the corresponding author upon reasonable request.,Availability of data and materials,body_text
6yk1dkyv,10.1007/s10278-021-00574-8,Studierfenster: an Open Science Cloud-Based Medical Imaging Analysis Platform,The datasets generated during and/or analyzed during the current study are available in the Figshare repository (https://figshare.com/authors/_/3752557).,Data Availability ::: Material and Methods,body_text
x5q9g8p3,10.12688/f1000research.74972.1,The association between therapeutic plasma exchange and the risk of mortality among patients critically ill with COVID-19: a meta-analysis,All data underlying the results are available as part of the article and no additional source data are required.,Data availability Underlying data,body_text
e0ge4p76,10.1002/ehf2.13549,"Heart failure in COVID‐19: the multicentre, multinational PCHF‐COVICAV registry","The registry procedures, data acquisition, and statistics were provided reliably according to the rules of Good Clinical Practice. The anonymized datasets of the current study might be available from the corresponding author on reasonable request.",Data availability statement,body_text
gk8ely05,10.1186/s12859-018-2330-z,outbreaker2: a modular platform for outbreak reconstruction,"The datasets generated and analysed during the current study are available in the github repository https://github.com/finlaycampbell/BMC_outbreaker2. Fig. 4 Similarity of consensus trees inferred by o2mod.TransPhylo and outbreaker2 compared to TransPhylo. The consensus tree of a reconstructed outbreak is defined as the tree with the ancestor of the highest posterior probability for each case. The similarity between consensus trees is calculated as the proportion of identically assigned ancestries. The x-axis indicates individual simulated outbreaks. Each outbreak was reconstructed once using the default outbreaker2 model (white dots), and once using o2mod.TransPhylo (black dots). The colour of the line represents the change in similarity to the consensus tree returned by the original TransPhylo package",Availability of data and materials,body_text
ebv16roi,10.18632/aging.203522,Efficacy and safety of current medications for treating severe and non-severe COVID-19 patients: an updated network meta-analysis of randomized placebo-controlled trials,All relevant data to the study were included in the article or uploaded as supplementary information. Data is available upon reasonable request.,Availability of data and materials ::: MATERIALS AND METHODS,body_text
d1k3myo5,10.1155/2018/1837634,Extra Dose of Vitamin C Based on a Daily Supplementation Shortens the Common Cold: A Meta-Analysis of 9 Randomized Controlled Trials,All data are contained within the paper.,Data Availability,back_matter
l6zxwhgl,10.1177/03000605211002003,Association between renal urolithiasis after extracorporeal shock wave lithotripsy therapy and new-onset hypertension: an updated meta-analysis,"The datasets generated and analyzed during the current study are available in Embase, the Cochrane Central Search Library, and PubMed.",Availability of data and materials,body_text
x79n29cp,10.3389/fnut.2021.825050,Development of the Food Label Information Program: A Comprehensive Canadian Branded Food Composition Database,"The datasets presented in this article are not readily available because complete database for non-commercial use can be obtained from the corresponding author at mary.labbe@utoronto.ca through data sharing agreements. Requests to access the datasets should be directed to Mary L'Abbe, mary.labbe@utoronto.ca.",Data Availability Statement,body_text
3n93ceo8,10.1038/s41597-021-01031-5,"COVID Border Accountability Project, a hand-coded global database of border closures introduced during 2020","Codes for the database, raw data outputs and data visualizations appearing on our website are available on our project GitHub (https://github.com/COBAPteam/COBAP). The full text of the survey used to code each policy is available in the Supplementary Materials.",Code availability,body_text
6skbv2tv,10.1093/bioinformatics/btac176,EDGE COVID-19: a web platform to generate submission-ready genomes from SARS-CoV-2 sequencing efforts,"All new data generated as part of this manuscript has been deposited to NCBI SRA database (Bioproject: PRJNA714680), GenBank, and GISAID. Individual accession IDs for GenBank and GISAID can be found in Supplementary Table S3.",Data availability,back_matter
ceefano5,10.1038/s41467-022-29911-3,Prospective individual patient data meta-analysis of two randomized trials on convalescent plasma for COVID-19 outpatients,"The source data and generated data are available in the Supplementary Data files.
The codes generated during the current study are available from the corresponding author on reasonable request.
Received: 23 November 2021; Accepted: 7 April 2022;",Data availability; Code availability,body_text
k1f9t27q,10.1093/nar/gkab977,SCoV2-MD: a database for the dynamics of the SARS-CoV-2 proteome and variant impact predictions,SCoV2-MD is an open-source collaborative initiative. The database is freely accessible without registration at www.scov2-md.org. Its source code is available in the GitHub repository https://github.com/GPCRmd/SCoV2-md.,DATA AVAILABILITY,body_text
y27afidm,10.1093/nar/gkab1019,GMrepo v2: a curated human gut microbiome database with special focus on disease markers and cross-dataset comparison,"All data are freely accessible to all academic users. This work is licensed under a Creative Commons Attribution Non-Commercial 3.0 Unported License (CC BY-NC 3.0). Users can download dataset from the ‘Data downloads’ section of the ‘Help’ page. Users can also download individual datasets or combined datasets for individual project/phenotype/species via the ‘Browse’ page. We also provided programmable access through REST APIs. And users can obtain our datasets based on the detailed instructions on using R, Perl and Python at the ‘Programmable access’ section of the ‘Help’ page or our GitHub page: https://github.com/evolgeniusteam/GMrepoProgrammableAccess.",DATA AVAILABILITY,body_text
hj1tpfq4,10.3389/fmed.2021.765249,IDbSV: An Open-Access Repository for Monitoring SARS-CoV-2 Variations and Evolution,The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found in the article/Supplementary Material.,Data Availability Statement,body_text
j6fo487e,10.1007/s11239-021-02487-3,Impact of COVID-19 outbreak on patients with ST-segment elevation myocardial ınfarction (STEMI) in Turkey: results from TURSER study (TURKISH St-segment elevation myocardial ınfarction registry),The data underlying this article will be shared on reasonable request to the corresponding author.,Data availability,back_matter
puahsbhy,10.1055/s-0041-1731004,The Cosmos Collaborative: A Vendor-Facilitated Electronic Health Record Data Aggregation Platform,"Individuals from healthcare systems contributing data to Cosmos can query data in Cosmos through a secure web application. The web application leverages a graphical user interface that allows users to build modular queries without writing any code. Queries return cohort counts or summary measures (such as minimum, maximum, mean, or standard deviations of included continuous variables). Users can use Boolean logic to combine their criteria and place relative temporal restrictions on queries. For example, a query could retrieve the average age and the numberof patients who receiveda certainvaccine and receiveda follow-up booster within 12 months. Because Cosmos only returns population level data and obscures counts <11 patients (only reported as “10 or fewer”), data returned from Cosmos queries do not constitute human subjects research. As a result, end-users do not require institutional review board approval for research purposes.",Data Access ::: Methods,body_text
ihdvzayk,10.1016/j.obmed.2021.100333,Prognostic value of fasting hyperglycemia in patients with COVID-19 – Diagnostic test accuracy meta-analysis,"Available upon reasonable request.
Data are available on reasonable request.",Data Availability,body_text
trysj5eg,10.3389/fmolb.2021.750558,Respiratory Outcomes in Patients Following COVID-19-Related Hospitalization: A Meta-Analysis,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author.",DATA AVAILABILITY STATEMENT,body_text
ef3e9smf,10.3390/ijms23094532,The Thousand Polish Genomes—A Database of Polish Variant Allele Frequencies,The variant allele frequencies database is available to academic researchers through a simple application process and data usage agreement. We encourage qualified researchers and clinicians to visit the project website: 1000polishgenomes.com. Code Used to Analyse the Data for this Manuscript is available at https://github.com/MNMdiagnostics/NaszeGenomy (accessed on 27 June 2021).,Data Availability Statement:,body_text
q1hudpg5,10.7717/peerj.13225,The effect of the COVID-19 pandemic on health care workers’ anxiety levels: a meta-analysis,"The following information was supplied regarding data availability:
The raw data is available in the Supplemental File.",Data Availability,body_text
ksig15xk,10.3389/fpubh.2022.870065,Prognostic Value of Syndecan-1 in the Prediction of Sepsis-Related Complications and Mortality: A Meta-Analysis,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author/s.",Data Availability Statement,body_text
06xw57td,10.3389/fcimb.2021.709634,Microbiota Emergencies in the Diagnosis of Lung Diseases: A Meta-Analysis,The original contributions presented in the study are included in the article/Supplementary Material. Further inquiries can be directed to the corresponding authors.,Data Availability Statement,body_text
qen0adea,10.3389/fcvm.2022.813325,Reperfusion Strategy of ST-Elevation Myocardial Infarction: A Meta-Analysis of Primary Percutaneous Coronary Intervention and Pharmaco-Invasive Therapy,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding authors.",Data Availability Statement,body_text
er5mr1m1,10.1101/2020.08.18.20177147,OxCOVID19 Database: a multimodal data repository for better understanding the global impact of COVID-19,"We provide several different means of accessing the OxCOVID19 Database. The latest version can be downloaded in CSV format from https://github.com/covid19db/data or https://covid19.eng.ox.ac.uk/ and the archived static version can be accessed
The code for data acquisition and cleaning used in the processing of assembling the OxCOVID19 Database is on the GitHub repository: https://github.com/covid19db.",Data access; Code availability,body_text
zv2ryoh2,10.1016/j.metabol.2022.155196,Preadmission use of antidiabetic medications and mortality among patients with COVID-19 having type 2 diabetes: A meta-analysis,"Data were extracted from published research papers, all of which are available and accessible. All datasets generated during the current study are available upon reasonable request from the corresponding authors. The study protocol has been published (PROSPERO ID: CRD42021293064; www.crd.york.ac.uk/PROSPERO/) and is unrestrictedly available.",Data availability,back_matter
z0pjmz8u,10.1186/s13063-021-05458-4,AGILE: a seamless phase I/IIa platform for the rapid evaluation of candidates for COVID-19 treatment: an update to the structured summary of a study protocol for a randomised platform trial letter,"When the database from each CST protocol is locked, analysed and published, we will make the data available to the academic community via a request to the AGILE Data Sharing Committee (agile@soton.ac.uk).",Availability of data and materials,body_text
4y6kcase,10.1038/s41431-022-01089-8,Coronavirus Host Genetics South Africa (COHG-SA) database—a variant database for gene regions associated with SARS-CoV-2 outcomes,"All data generated or analysed during this study are included in this published article, supplementary information files, and the database repository. Access to the repository is available at (http://covgene.bi.up.ac.za).",DATA AVAILABILITY,body_text
ofvmt6kl,10.1186/s42269-022-00733-z,Association of inflammatory biomarker abnormalities with mortality in COVID-19: a meta-analysis,All the data used in the meta-analyses are available in the listed articles.,Availability of data and materials,back_matter
0707skqc,10.1186/s12859-020-03915-6,"Modeling drug mechanism of action with large scale gene-expression profiles using GPAR, an artificial intelligence platform",See ' Availability of materials and data' section for more information. These data can be obtained free of charge via http:// gpar.idrug .net.cn/ Ethics approval and consent to participate Not applicable.,Availability of data and materials,back_matter
nlszf8ym,10.1186/s40249-021-00901-9,The incubation period of COVID-19: a global meta-analysis of 53 studies and a Chinese observation study of 11 545 patients,The data used for this article is available from the corresponding author on reasonable request.,Availability of data and materials,back_matter
b6vxsi9j,10.3389/fphar.2022.850221,Comparative Efficacy of Chinese Herbal Injections for Septic Shock: A Bayesian Network Meta-Analysis of Randomized Controlled Trials,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding authors.",DATA AVAILABILITY STATEMENT,body_text
67l5cgas,10.3389/fendo.2021.779692,The Association Between COVID-19 and Thyroxine Levels: A Meta-Analysis,"The original contributions presented in the study are included in the article/
Supplementary Material
. Further inquiries can be directed to the corresponding author.",Data Availability Statement,body_text
76yd1rkb,10.3389/fmed.2021.773461,"CytoSorb Therapy in COVID-19 (CTC) Patients Requiring Extracorporeal Membrane Oxygenation: A Multicenter, Retrospective Registry","The datasets presented in this article are not readily available because the data that support the findings of this study are retained by CytoSorbents Corporation, the sponsor of the CTC Registry. The data are available upon reasonable written request and with written permission of the CytoSorbents Corporation. Requests to access the datasets should be directed to Peter Nelson, pnelson@cytosorbents.com.",Data Availability Statement,body_text
7zcrp4ca,10.15252/msb.202110387,"COVID19 Disease Map, a computational knowledge repository of virus–host interaction mechanisms","COVID-19 Disease Map diagrams are available via: -the GitLab repository (https://gitlab.lcsb.uni.lu/covid/models).
-WikiPathways collection (http://covid.wikipathways.org).
-Reactome collection (https://reactome.org/PathwayBrowser/#/R-HSA-9679506).
Workflows, executable models and network models are available via: -the GitLab repository (https://gitlab.lcsb.uni.lu/covid/models).
-FAIRDOMHub (https://fairdomhub.org/projects/190).
Expanded View for this article is available online.",Data availability,body_text
tsp1rjgo,10.3389/fphar.2021.610745,Efficacy of Chinese Herbal Injections for Elderly Patients With pneumonia—A Bayesian Network Meta-analysis of Randomized Control Trials,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding authors.",DATA AVAILABILITY STATEMENT,body_text
l3ec6gdm,10.12688/f1000research.74645.1,"Temporal trends of sex differences for COVID-19 infection, hospitalisation, severe disease, intensive care unit (ICU) admission and death: a meta-analysis of 229 studies covering over 10M patients","Harvard dataverse: Replication Data for: Temporal trends of sex differences for COVID-19 infection, hospitalisation, severe disease, intensive care unit (ICU) admission and death: Aa meta-analysis of 229 studies covering over 10M patients.
https://doi.org/10.7910/DVN/DPP67G

18
.
Harvard Dataverse: Appendix for: Temporal trends of sex differences for COVID-19 infection, hospitalisation, severe disease, intensive care unit (ICU) admission and death: Aa meta-analysis of 229 studies covering over 10M patients.
https://doi.org/10.7910/DVN/JPLKI9

12
.
Harvard Dataverse: PRISMA checklist for ‘Temporal trends of sex differences for COVID-19 infection, hospitalisation, severe disease, intensive care unit (ICU) admission and death: a meta-analysis of 229 studies covering over 10M patients’
https://doi.org/10.7910/DVN/TRIZJX

10
.
Data are available under the terms of the
Creative Commons Zero ""No rights reserved"" data waiver (CC0 1.0 Public domain dedication).",Underlying data ::: Data availability; Extended data ::: Data availability; Reporting guidelines ::: Data availability,body_text
pu2gy68n,10.1186/s12859-020-03881-z,Propedia: a database for protein–peptide identification based on a hybrid clustering algorithm,The data generated and/or analyzed for current study are available at Propedia's download page: https ://bioin fo.dcc. ufmg.br/prope dia/downl oad,Availability of data and materials,back_matter
hstomkk5,10.1534/g3.117.041491,Inbred Strain Variant Database (ISVdb): A Repository for Probabilistically Informed Sequence Differences Among the Collaborative Cross Strains and Their Founders,"The ISVdb version corresponding to this publication is ISVdb.v1.1, uploaded on March 15, 2017. A frozen snapshot of ISVdb.v1.1, including the v1.1 website interface and the variant information it provides, will be maintained at http://isvdb.unc.edu/archive. Subsequent ISVdb versions will be housed in the archive as well. The frozen ISVdb.v1.1 contents, and the inputs used to generate those contents, are also permanently stored on Zenodo at https://doi.org/10.5281/zenodo.399474 (Oreper et al. 2017b). All ISVdb.v1.1 results can be recreated from Supplemental Material, File S8 and File S9, which are briefly described below, and in further detail in File S1. As subsequent versions of ISVdb are developed, their contents will also be archived (at another location) on Zenodo.
For ISVdb.v1.1: File S1 contains detailed descriptions of all supplemental files; File S2 contains marker diplotype data for CC strains; File S3 contains nonmitochondrial SNPs for founders; File S4 contains indels for founders; File S5 contains mitochondrial SNPs for founders; File S6 contains the custom format specification for these VCF files; File S7 contains BL37.75 exons (along with other genomic features); File S8 contains an ISVdb.v1.1 dump of the imputed CC diplotypes per strain and per chromosome, in CSV format; and File S9 contains an ISVdb.v1.1 dump of the imputed CC genotypes per strain and per chromosome, in CSV format.
Code used to generate the ISVdb and its GUI is available at https://github.com/danoreper/ISVdb.git (Oreper et al. 2017a).",Data availability ::: Methods,body_text
71bg6grx,10.3389/fpsyg.2021.729302,Baby’s Online Live Database: An Open Platform for Developmental Science,"The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation.",Data Availability Statement,body_text
1d5lqph5,10.1016/j.micpath.2022.105498,"Accuracy of clustered regularly interspaced short palindromic repeats (CRISPR) to diagnose COVID-19, a meta-analysis",No data was used for the research described in the article.,Data availability,body_text
kmw53q5z,10.12669/pjms.37.5.4351,"Characteristics, risk factors and outcomes of gastrointestinal hemorrhage in COVID-19 patients: A meta-analysis",The datasets used and/or analyzed during the current study are available from the corresponding author on reasonable request.,Availability of data and materials:,body_text
mbt8h1gr,10.3389/fnut.2021.795802,Responsible Governance for a Food and Nutrition E-Infrastructure: Case Study of the Determinants and Intake Data Platform,"The authors of this article conducted this research whilst working on the Richfields Project, which was used as the case study described herein. The data supporting this study should be requested from the RICHFIELDS consortium (https://fnhri.eu/contact/) and will be granted upon reasonable request.",Data Availability Statement,body_text
04d3qu60,10.3389/fmed.2021.809118,Gene Therapy Advances: A Meta-Analysis of AAV Usage in Clinical Settings,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding author/s.",Data Availability Statement,body_text
0uh5yarg,10.1186/s13054-021-03733-z,"The Dutch Data Warehouse, a multicenter and full-admission electronic health records database for critically ill COVID-19 patients","The pipelines were constructed in Python 3 (Python Software Foundation). The resulting DDW is stored on a remote server. An application programming interface (API) was developed to facilitate data access. Access to the server is regulated to comply with the data sharing agreements. All hospitals have access to the data. External researchers can get access to all data in collaboration with any of the participating hospitals. The list of collaborators is available in the co-author list and in the declarations section. The collaborators may be contacted directly, through the corresponding author, or through the contact information on Amsterdammedicaldatascience.nl [25]. Research questions have to be in the line with the reason for data collection as outlined in the DSA; the investigation of the ICU course of COVID-19 or its potential treatments. In addition, researchers have to sign a code of conduct before getting access to the data. Data access is granted by Amsterdam UMC; compliance with the DSA is the responsibility of the researcher and hospital accessing the data. A repository to process the data warehouse, including more information on table structures and data content, is available on Gitlab. Anyone can get access to the repository by contacting the corresponding author.",Data and code availability ::: Methods,body_text
czgcazbq,10.1093/nar/gkab1048,HumanNet v3: an improved database of human gene networks for disease research,"HumanNet v3 is available under the Creative Commons Attribution-ShareAlike 4.0 International License at https://www.inetbio.org/humannet. The data can be accessed through the following web browsers: Google Chrome, Microsoft Edge, Apple Safari, Mozilla Firefox.",DATA AVAILABILITY,body_text
axdhbeji,10.1093/jamia/ocab264,The Mass General Brigham Biobank Portal: an i2b2-based data repository linking disparate and high-dimensional patient data to support multimodal analytics,The limited dataset underlying this article cannot be shared publicly due to privacy of individuals that participated in the study. Deidentified data and samples may be shared in collaboration with a Mass General Brigham investigator. A subset of genotype and phenotype data is available on dbGAP at https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id¼ phs001584.v2.p2.,DATA AVAILABILITY,back_matter
6lxa5rds,10.1186/s12859-021-04207-3,Lantern: an integrative repository of functional annotations for lncRNAs in the human genome,"Lantern database is hosted at sysbio.lab.iupui.edu/lantern, which provides downloadable tables and figures. Source codes are available at GitHub (at https:// github. com/ Vidhu rDS/ Lante rn) [115] .",Availability of data and materials,back_matter
c3prfal9,10.1186/s12862-021-01911-9,European agroforestry has no unequivocal effect on biodiversity: a time-cumulative meta-analysis,All data required for the replication of the analysis are available in the supplementary material.,Availability of data and materials,back_matter
dfsf70w1,10.1101/2022.04.04.486952,"mRNAid, an Open-Source Platform for Therapeutic mRNA Design and Optimization Strategies",All code for this publication is available in the following GitHub repository: https://github.com/Merck/mRNAid and as a web application at https://mrnaid.dichlab.org .,Data availability,body_text
0bdhvgf6,10.1016/j.ajem.2022.03.010,Significant association between ischemic heart disease and elevated risk for COVID-19 mortality: A meta-analysis,The data that support the findings of this study are included in this article and available from the corresponding author upon reasonable request.,Data availability statement,body_text
n9amkau8,10.3389/fphar.2021.783104,Safety and Efficacy of Low Molecular Weight Heparin for Thromboprophylaxis in the Elderly: A Network Meta-Analysis of Randomized Clinical Trials,"The original contributions presented in the study are included in the article/Supplementary Material, further inquiries can be directed to the corresponding authors.",DATA AVAILABILITY STATEMENT,body_text
4qjuxvx5,10.7717/peerj.11120,PhyloPrimer: a taxon-specific oligonucleotide design platform,The following information was supplied regarding data availability: All software scripts and databases are available at GitHub: https://github.com/ gvMicroarctic/PhyloPrimer.,Data Availability,back_matter
xzd12ea4,10.1093/nar/gkab850,COVID19db: a comprehensive database platform to discover potential drugs and targets of COVID-19 at whole transcriptomic scale,The COVID19db platform is accessible at websites of http://hpcc.siat.ac.cn/covid19db and http://www.biomedical-web.com/covid19db.,DATA AVAILABILITY,body_text
yjae75zr,10.3389/fphar.2021.670170,Systemic Corticosteroid Administration in Coronavirus Disease 2019 Outcomes: An Umbrella Meta-Analysis Incorporating Both Mild and Pulmonary Fibrosis–Manifested Severe Disease,"The original contributions presented in the study are included in the article/Supplementary Material, and further inquiries can be directed to the corresponding author.",DATA AVAILABILITY STATEMENT,body_text
t6577sbh,10.1007/s00292-020-00897-3,Cooperative approach of pathology and neuropathology in the COVID-19 pandemic: German registry for COVID-19 autopsies (DeRegCOVID) and German network for autopsies in pandemics (DEFEAT PANDEMIcs),"For data reporting, each center must comply with local regulatory requirements, especially regarding ethical and data protection issues. DeRegCOVID in order to meet the need for centralized, coordinated, and structured data collection and reporting during the pandemic. The success of the registry strongly depends on the willingness of the respective centers to report the data, which has developed very positively so far and requires special thanks to all participating centers. The rights to own data and biomaterials (stored decentrally) remain with each respective center. The DEFEAT PANDEMIcs network expands on this and aims to strengthen harmonization and standardization as well as nationwide implementation and cooperation in the field of pandemic autopsies.
Conclusions. The extraordinary cooperation in the field of autopsies in Germany during the COVID-19 pandemic is impressively demonstrated by the establishment of DeRegCOVID, the merger of the registry of neuropathology (CNS-COVID19) with DeRegCOVID and the establishment of the autopsy network DEFEAT PANDEMIcs. It gives a strong signal for the necessity, readiness, and expertise to jointly help manage current and future pandemics by autopsy-derived knowledge.",» All centers retain the rights to their reported data and materials,body_text
5ncmy9iw,10.1016/j.bja.2021.07.033,"Convalescent plasma for COVID-19: a meta-analysis, trial sequential analysis, and meta-regression",All authors had access to data.,Author data access ::: Declarations,body_text
qa4zf97x,10.1186/s12885-020-06948-5,Similar response rates and survival with PARP inhibitors for patients with solid tumors harboring somatic versus Germline BRCA mutations: a Meta-analysis and systematic review,"The datasets used and/or analyzed during the current study are available from the corresponding author on reasonable request. The studies from which the data was generated are publicly available.Ethics approval and consent to participate Not applicable, as this is a meta-analysis of published data, and no direct patient care was involved.",Availability of data and materials,back_matter
vzdetjc5,10.1080/13880209.2021.1915340,Efficacy and safety of Chinese patent medicine (Kang-ai injection) as an adjuvant in the treatment of patients with hepatocellular carcinoma: a meta-analysis,All data generated or analysed during this study are included in this published article.,Availability of data and material,body_text
x7bejjkk,10.1016/j.isci.2020.101297,CORDITE: the curated CORona Drug InTERactions database for SARS-CoV-2,This study did not generate data. The curated data can be accessed freely via the API.,Data and Code Availability,body_text
fulol6hn,10.1016/j.xpro.2021.100755,"An optimized, amplicon-based approach for sequencing of SARS-CoV-2 from patient samples using COVIDSeq assay on Illumina MiSeq sequencing platforms",All the scripts used for the SARS-CoV-2 sequencing analysis and interpretation are adopted from Poojary et al 2020 (GitHub repository: https://github.com/banijolly/Genepi).,Data and Code Availability,back_matter
88fm77sp,10.3389/fpubh.2020.00193,Comparison of Epidemiological Variations in COVID-19 Patients Inside and Outside of China—A Meta-Analysis,All datasets presented in this study are included in the article.,Data Availability Statement,body_text
69nkzy5q,10.1186/s12911-021-01524-8,Pragmatic MDR: a metadata repository with bottom-up standardization of medical metadata through reuse,The datasets used and/or analyzed during the current study are available from the corresponding author on reasonable request.,Availability of data and materials,back_matter
bejc6q06,10.3390/ijerph18147643,Effects of Exercise Training on Cardiopulmonary Function and Quality of Life in Elderly Patients with Pulmonary Fibrosis: A Meta-Analysis,The data presented in this study are available on request from the corresponding author.,Data Availability Statement:,body_text
oqvp6a10,10.1038/s41597-022-01206-8,MeadoWatch: a long-term community-science database of wildflower phenology in Mount Rainier National Park,"This paper represents MW’s first data release, which will be updated regularly via the provided links. MW data is freely available to use for any non-commercial purposes by citing this reference or the DOI to the database22. Commercial use of the database requires express authorization by the MW coordinator (Prof. Dr. Hille Ris Lambers). For privacy, the identities of MW volunteers in the database have been anonymized.",Data availability and use ::: Usage Notes,body_text
