name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_match_type,_matched_to
CITF DATA PORTAL,,https://portal.citf.mcgill.ca/,6924,10.25504/FAIRsharing.e8f037,"The COVID-19 Immunity Task Force Data Portal, run by McGill University, centralizes and standardizes individual-level epidemiological and immunological data from CITF-funded studies across Canada. It enables researchers to explore harmonized variables, submit requests for data access according to established policies, and track approved research projects. The portal supports investigations into SARS-CoV-2 infection history, vaccine effectiveness, immunity (both humoral and cellular), and related public health questions.",ready,repository,Canada,,,,"School of Population and Global Health, McGill University ",University,General Contact,info@citfdatabank.ca,controlled,not found,,,,,,https://www.re3data.org/repository/r3d100014306,dataset,Clinical Studies; Health Science,COVID-19,,,citf data portal,,portal.citf.mcgill.ca,,
COVID-19 Drug Interactions,,https://www.covid19-druginteractions.org/,2956,10.25504/FAIRsharing.37b795,"The Liverpool Drug Interaction Group (based at the University of Liverpool, UK), in collaboration with the University Hospital of Basel (Switzerland) and Radboud UMC (Netherlands), have produced various materials in PDF format to aid the use of experimental agents in the treatment of COVID-19.",ready,knowledgebase,United Kingdom,2020,"Sobi, Stockholm, Sweden; Abbvie, North Chicago, Illinois, USA; Centre of Excellence in Infectious Diseases Research (CEIDR); Gilead, Foster City, CA, USA; Novartis; British HIV Association (BHIVA), Hertfordshire, UK; European AIDS Clinical Society (EACS), Brussels, Belgium; Radboud University Medical Center, Nijmegen, The Netherlands; UK Research and Innovation; MSD, Hoddesdon, UK; Graphics and Vision Research Group, University of Basel, Switzerland",Government body; University; Lab; Charitable foundation; Research institute; Company; Consortium,"National Institute for Health Research (NIHR), UK; Institute of Integrative Biology, University of Liverpool, Liverpool, UK",Government body,David MacEwan,D.Macewan@liverpool.ac.uk,open,not applicable,,HIV Drug Interactions Terms and Conditions; HIV Privacy Notice,https://www.hiv-druginteractions.org/terms; https://www.hiv-druginteractions.org/privacy,,,https://www.re3data.org/repository/r3d100013299,dataset,Virology; Drug Discovery; Drug Development; Biomedical Science; Epidemiology,COVID-19,,,covid-19 drug interactions,,covid19-druginteractions.org,,
COVID-19 Pandemic (AUSSDA - The Austrian Social Science Data Archive),COVID Data Hub by AUSSDA,https://data.aussda.at/dataverse/covid19,3074,10.25504/FAIRsharing.lU7PSC,"Social Science Data on Coronavirus Disease: Your information hub for SARS-CoV-2 / COVID-19 pandemic related studies in Austria in the social sciences. Studies will be made available as fast as possible. Thus, not all information is available in English. Some studies will be published as pre-releases meaning that these are not the final datasets. Researchers therefore are obliged to check the most recent version before publishing and must add a disclaimer that they have been publishing with a pre-release version. Pre-release datasets are likely to be updated and substantial changes can happen as part of the continuing quality checks (e.g., weighting variables might change).",ready,repository,Austria,,,,AUSSDA,University,,,open,controlled,,,,,,,dataset,Social Science,COVID-19,,,covid-19 pandemic (aussda - the austrian social science data archive),covid data hub by aussda,data.aussda.at,,
COVID-19 Research Collaborations,,https://covid19.elsevierpure.com/,2926,,"The COVID-19 Research Collaborations database stores information on researchers and institutions for the purposes of identifying potential research experts or collaborators in areas related to the coronavirus epidemic across basic science, translational research, or clinical practice.",deprecated,repository,Netherlands,2020,,,"Elsevier Inc, Amsterdam, Netherlands",Publisher,,,not found,not found,,,,,,https://www.re3data.org/repository/r3d100013300,object type not found,Virology; Translational Medicine; Biomedical Science; Epidemiology,COVID-19,,,covid-19 research collaborations,,covid19.elsevierpure.com,,
COVID-19 SeroHub,SeroHub,https://doi.org/10.17917/3pz5-5m44,3901,10.25504/FAIRsharing.74d22a,"The COVID-19 Seroprevalence Studies Hub, known as COVID-19 SeroHub, is an online dashboard intended to help researchers and policymakers monitor studies of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) seroprevalence in the United States. These types of studies use blood tests to identify the proportion of people in the population who possess antibodies to SARS-CoV-2.
COVID-19 SeroHub is a collaboration of the Centers for Disease Control and Prevention, the National Cancer Institute and National Institute of Allergy and Infectious Diseases, part of the National Institutes of Health.",deprecated,knowledgebase_and_repository,United States,2020,,,"National Cancer Institute (NCI), National Institutes of Health (NIH), Bethesda, USA",Government body,,,open,controlled,,DOI Privacy Policy; Web Accessibility Policy for the NIH NCI,https://www.doi.org/w3c/privacy.html; http://www.cancer.gov/policies/accessibility,,,,dataset,Public Health; Global Health; Medical Virology,,,,covid-19 serohub,serohub,doi.org,,
COVID19-NMR,,https://covid19-nmr.de/,4850,,"The COVID-19 NMR Repository aims to make as many viral RNA and proteins as possible available for NMR work and screen them using a fragment library. Originally, the goal of the project was to determine RNA and protein structures of SARS-CoV-2 and to investigate the drugability of those structures by small molecules. As the initial work has been completed, they continue to investigate viral research via NMR and beyond.",ready,repository,Worldwide,2020,Goethe University Frankfurt; Deutsche Forschungsgemeinschaft; Volkswagen Foundation,Government body; Charitable foundation; University,Darmstadt University of Applied Sciences; Goethe University Frankfurt,University,Harald Schwalbe,schwalbe@nmr.uni-frankfurt.de,open,controlled,,COVID 19-NMR Impress & Copyright,https://covid19-nmr.de/impress/,,,,publication; dataset; image; model,,COVID-19,10.1002/anie.202205858,,covid19-nmr,,covid19-nmr.de,,
Chinese Clinical Trial Registry,ChiCTR,https://www.chictr.org.cn/indexEN.html,2935,10.25504/FAIRsharing.4ca1fb,"Chinese Clinical Trial Registry provides the services include register for trials, consultation for trial design, central randomization for an allocation sequence, peer review for draft articles and training for peer reviewers.",ready,repository,China,2005,,,"China Academy of Chinese Medical Sciences (CACMS), Beijing, China",Research institute,Taixiang Wu,txwutx@hotmail.com,open,controlled,,,,,,https://www.re3data.org/repository/r3d100013294,other object type,Virology; Biomedical Science; Clinical Studies; Epidemiology,COVID-19,10.1111/j.1756-5391.2011.01137.x,,chinese clinical trial registry,chictr,chictr.org.cn,,
Comparative Toxicogenomics Database,CTD,https://ctdbase.org/,1716,10.25504/FAIRsharing.h3tjtr,"The Comparative Toxicogenomics Database (CTD) advances understanding of the effects of environmental chemicals on human health. Biocurators manually curate chemical-gene, chemical-disease, and gene-disease relationships from the scientific literature. This core data is then internally integrated to generate inferred chemical-gene-disease networks. Additionally, the core data is integrated with external data sets (such as Gene Ontology and pathway annotations) to predict many novel associations between different data types. A unique and powerful feature of CTD is the inferred relationships generated by data integration that helps turn knowledge into discoveries by identifying novel connections between chemicals, genes, diseases, pathways, and GO annotations that might not otherwise be apparent using other biological resources.",ready,knowledgebase,United States,2004,"National Institute of Environmental Health Sciences, National Institutes of Health; National Institute of Neurological Disorders and Stroke",Government body; Research institute,North Carolina State University,University,Allan Peter Davis,apdavis3@ncsu.edu,open,not applicable,,Comparative Toxicogenomics Database Terms of Use,https://ctdbase.org/about/legal.jsp,,,https://www.re3data.org/repository/r3d100011530; https://scicrunch.org/resolver/RRID:SCR_006530,dataset; model,Environmental Science; Comparative Genomics; Systems Biology; Anatomy; Biomedical Science; Toxicology; Toxicogenomics,Adverse outcome pathways; COVID-19; Systems toxicology,10.1093/database/bas051; 10.1093/database/bar065; 10.1093/nar/gks994; 10.1093/database/bat080; 10.1371/journal.pone.0058201; 10.1093/database/bar034; 10.6026/97320630007154; 10.6026/97320630004173; 10.1093/nar/gky868; 10.1186/1755-8794-1-48; 10.1093/nar/gkw838; 10.1289/EHP174; 10.1371/journal.pone.0155530; 10.1093/nar/gku935; 10.1093/toxsci/kfy131; 10.1289/EHP2873; https://doi.org/10.1093/toxsci/kfaa113; 10.1093/nar/gkac833; 10.1093/nar/gkae883; 10.3389/ftox.2024.1437884; 10.1093/toxsci/kfad069; 10.1016/j.crtox.2021.03.001; 10.1016/j.cotox.2019.03.002,,comparative toxicogenomics database,ctd,ctdbase.org,,
Coronavirus and Atopic Dermatitis (AD) / Alopecia Reporting Database,SECURE-DERM,https://www.secure-derm.com/,3292,10.25504/FAIRsharing.clSFul,"Given the interest in the emerging and evolving coronavirus (COVID-19) pandemic and the questions regarding how this will impact patients with atopic dermatitis (AD) or alopecia who are treated with or without systemic immunomodulating medication, we have created a number of secure, online, de-identified Personal Health Identifier (PHI) – free reporting registries and an anonymous patient reported survey.",deprecated,repository,Ireland; Netherlands; United Kingdom,2020,"National and International Skin Registry Solutions (NISR), Dublin, Ireland",Undefined,,,General contact,info@nisrsolutions.com,not found,not found,,National and International Skin Registry Solutions Privacy Policy,https://www.secure-derm.com/privacy-policy-2/,,,,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,alopecia; atopic dermatitis; COVID-19; Dashboard; Observations,10.1111/bjd.19161; 10.1016/j.jaad.2020.06.050,,coronavirus and atopic dermatitis (ad) / alopecia reporting database,secure-derm,secure-derm.com,,
DIGITAL.CSIC,,https://digital.csic.es/,3314,10.25504/FAIRsharing.8d2e5c,"DIGITAL.CSIC is the institutional repository of the Spanish National Research Council. The resource organizes, preserves and provides open access to a wide variety of types of CSIC research outputs, including peer reviewed publications, research data, patents, conference contributions and training resources. ",ready,knowledgebase,Spain,2008,,,Spanish National Research Council,Government body,Isabel Bernal,isabel.bernal@bib.csic.es,open,controlled,,Política de datos en Digital.CSIC,https://digital.csic.es/dc/politicas/politica-datos-digital-csic.jsp,,,https://www.re3data.org/repository/r3d100011076; https://commons.datacite.org/repositories/csic.digital,document; publication; dataset; image; software source code; software application,Subject Agnostic,COVID-19; institutional repository,,,digital.csic,,digital.csic.es,,
DatabasE of StruCtuRe and functIon residue-Based prEdictions of PROTeins,DescribePROT,http://biomine.cs.vcu.edu/servers/DESCRIBEPROT/main.php,5107,10.25504/FAIRsharing.854141,"The DescribePROT database provides access to amino acid-level annotations of protein structure and function, which include 3 experimentally validated and 19 putative characteristics. It covers hundreds of complete proteomes of popular and model organisms. Users can search it in multiple ways, interact with the data using an interactive graphical interface, and download data at various scales including individual proteins, entire proteomes, and whole database. The annotations in DescribePROT are useful for a broad spectrum of studies that include investigations of protein structure and function, development and validation of predictive tools, and supporting efforts in understanding molecular underpinnings of diseases and development of therapeutics.",ready,knowledgebase,United States,2020,National Science Foundation; National Institutes of Health,Government body,Virginia Commonwealth University,University,Dr. Lukasz Kurgan,lkurgan@vcu.edu,open,not applicable,,,,,,,dataset,Bioinformatics; Proteomics,,10.1093/nar/gkad985; 10.1093/nar/gkaa931,,database of structure and function residue-based predictions of proteins,describeprot,biomine.cs.vcu.edu,,
Database of Viral siRNA / shRNA,VIRsiRNAdb,http://crdd.osdd.net/servers/virsirnadb,1675,10.25504/FAIRsharing.h4etg,"Viral siRNA Database (VIRsiRNAdb) is a structured collection of  experimentally validated siRNAs reported in the scientific literature targeting diverse genes of important human viruses. The curation efforts to date has concentrated mainly on viruses known to be associated with infectious diseases  in humans. Currently the database provides experimental information of 1358 siRNAs, mined from relevant Pubmed artcles, which includes siRNA sequence, virus subtype, target gene,  GenBank accession, design algorithim,  cell type, and  efficacy.",ready,knowledgebase,India,2011,"Council of Scientific and Industrial Research (CSIR), New Delhi, India; Department of Biotechnology, Ministry of Science and Technology, India",Government body,"Institute of Microbial Technology (IMTECH), Council of Scientific & Industrial Research (CSIR), Chandigarh, India",Government body,Manoj Kumar,manojk@imtech.res.in,open,open,,,,,,,dataset,Life Science,Virus inhibiting RNAi,10.1093/nar/gkr1147,,database of viral sirna / shrna,virsirnadb,crdd.osdd.net,,
DisGeNET,DisGeNET,http://www.disgenet.org,2146,10.25504/FAIRsharing.fssydn,"DisGeNET is a discovery platform containing one of the largest collections available of genes and variants involved in human diseases. DisGeNET integrates data from expert curated repositories, GWAS catalogues, animal models, and the scientific literature, and covers the whole landscape of human diseases. The current version of DisGeNET (v7.0) contains 1,134,942 gene-disease associations (GDAs), between 21,671 genes and 30,170 diseases, disorders, traits, and clinical or abnormal human phenotypes, and 369,554 variant-disease associations (VDAs), between 194,515 variants and 14,155 diseases, traits, and phenotypes. The data are homogeneously annotated with controlled vocabularies and community-driven ontologies. Additionally, several original metrics are provided to assist the prioritization of genotype-phenotype relationships. The information is accessible through a web interface, a Cytoscape App, an RDF SPARQL endpoint, a REST API, and an R package.",ready,knowledgebase,Spain,2009,"Innovative Medicines Initiative (IMI), Europe; Research Programme on Biomedical Informatics (IMIM, UPF); Innovative Medicines Initiative (IMI), Europe; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica",Government body; Research institute; Consortium,"Integrative Biomedical Informatics Group (IBI), Research Programme on Biomedical Informatics (GRIB) IMIM-UPF, Barcelona, Spain",Government body,Laura I. Furlong,laura.furlong@upf.edu,open,not applicable,,Disgenet Open Database License; GNU General Public License (GPL) 3.0,http://www.disgenet.org/legal; https://www.gnu.org/licenses/gpl.html,,,https://www.re3data.org/repository/r3d100013301; https://scicrunch.org/resolver/RRID:SCR_006178,dataset,Life Science; Human Genetics; Biomedical Science,COVID-19,10.1093/database/bav028; 10.1093/bioinformatics/btq538; 10.1371/journal.pone.0020284; 10.1093/nar/gkw943; 10.1093/nar/gkz1021,,disgenet,disgenet,disgenet.org,,
Disaster Lit,Disaster Lit,https://disasterinfo.nlm.nih.gov/disaster-lit,2937,,"Disaster Lit: Database for Disaster Medicine and Public Health is the National Library of Medicine (NLM) database of links to disaster medicine and public health documents available on the Internet at no cost. Documents include expert guidelines, research reports, conference proceedings, training classes, fact sheets, websites, databases, and similar materials for a professional audience. NLM selects materials from over 1,400 non-commercial publishing sources and supplements disaster-related resources from PubMed (biomedical journal literature) and MedlinePlus (health information for the public).",deprecated,repository,United States,2002,,,"Disaster Information Management Research Center (DIMRC), Bethesda, MD, USA",Government body,General contact,dimrc@nlm.nih.gov,not found,not found,,NLM NIH Copyright,http://www.nlm.nih.gov/copyright.html,,,,object type not found,Virology; Biomedical Science; Epidemiology; Health Science,COVID-19,,,disaster lit,disaster lit,disasterinfo.nlm.nih.gov,,
Dutch National COVID-19 clinical data dashboard,COVID-NL clinical data,https://covid19initiatives.health-ri.nl/p/Dashboard,4296,10.25504/FAIRsharing.71bf06,"The Dutch national COVID-19 clinical data dashboard allows exploration and reuse of clinical data from Dutch university medical centers (UMCs). The dashboard provides researchers with a clear overview of what is available, allow searching for specific data and make access to such data easier when the necessary ethical and legal conditions have been met.",ready,repository,Netherlands,2021,,,Health-RI,Charitable foundation,General Contact,info@health-ri.nl,controlled,not applicable,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,,document; dataset,Clinical Studies; Public Health; Primary Health Care; Social Medicine; Medical Virology,COVID-19; Dashboard,,,dutch national covid-19 clinical data dashboard,covid-nl clinical data,covid19initiatives.health-ri.nl,,
Dutch National COVID-19 metadata portal,COVID-NL metadata,https://covid19initiatives.health-ri.nl/p/ProjectOverview,4737,10.25504/FAIRsharing.527321,"The Dutch national COVID-19 metadata portal describes the content of the collections and type of data. The underlying data remains at the source, but where possible a link to the data or the data request procedure are provided on the portal. The first health care data sets in the portal are coming from observational studies funded by ZonMw, NFU COVID-19 clinical research data, collaborating top clinical hospitals (STZ), as well as other regional hospitals. However, the portal is open to any health care provider wishing to make their COVID-19 data available for research. ",ready,repository,Netherlands,2021,"The Netherlands Organisation for Health Research and Development (ZonMw), The Hague, The Netherlands",Government body,Health-RI,Charitable foundation,General contact,info@health-ri.nl,partially open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,,dataset,Clinical Studies; Public Health; Primary Health Care; Social Medicine; Medical Virology,COVID-19; Dashboard,,,dutch national covid-19 metadata portal,covid-nl metadata,covid19initiatives.health-ri.nl,,
