name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_is_duplicate,_match_type,_matched_to,filter_approach
COVID-19 Dermatology registry,,https://www.aad.org/member/practice/coronavirus/registry,3248,10.25504/FAIRsharing.Qyq85j,"COVID-19 Dermatology registry aims at collect cases of COVID-19 cutaneous manifestations. The registry is open to medical professionals only, from any specialty.",ready,repository,United States,2020,,,"Massachusetts General Hospital, Boston, MA, USA; American Academy of Dermatology, Rosemont, IL, United States",Government body; Consortium,General contact,covidregistry@aad.org,controlled,controlled,,AAD Legal Notice,https://www.aad.org/legal-notice,,,,document; questionnaire/survey; dataset,Clinical Studies; Dermatology; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Observations,S0190-9622(20)32126-5; S0190-9622(20)30984-1; S0190-9622(20)30658-7; 10.1016/j.jaad.2020.06.050,,covid-19 dermatology registry,,aad.org,True,url,COVID-19 Dermatology registry,keyword
COVID-19 Global Rheumatology Alliance,,https://rheum-covid.org/,3254,10.25504/FAIRsharing.EBhGci,"COVID-19 Global Rheumatology Alliance aim to collect, analyze and disseminate information about COVID-19 and rheumatology to patients, physicians and other relevant groups to improve the care of patients with rheumatic disease.",ready,repository,Worldwide,2020,"Pfizer, USA; AMGEN, USA; Johnson & Johnson, USA; Cellzome, GSK, Middlesex, UK.; Cellzome, GSK, Middlesex, UK.; Janssen, Belgium; Abbvie, North Chicago, Illinois, USA; Gilead, Foster City, CA, USA; Bristol Myers Squibb, New York, NY, USA",Company,,,General contact,rheum.covid@gmail.com,open,controlled,,,,,,,publication; questionnaire/survey; dataset; image,Critical Care Medicine; Clinical Studies; Epidemiology; Rheumatology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,10.1002/acr.24257; 10.1002/art.41567; keaa483; 10.1136/annrheumdis-2020-217871; 10.1093/rheumatology/keaa191; 10.1016/S2665-9913(20)30095-3,,covid-19 global rheumatology alliance,,rheum-covid.org,True,url,The COVID-19 Global Rheumatology Alliance Registry,keyword
COVID-19 Host Genetics Initiative,COVID-19 hg,https://www.covid19hg.org/,4067,10.25504/FAIRsharing.59dad8,"The COVID-19 host genetics initiative brings together the human genetics community to generate, share, and analyze data to learn the genetic determinants of COVID-19 susceptibility, severity, and outcomes. Such discoveries could help to generate hypotheses for drug repurposing, identify individuals at unusually high or low risk, and contribute to global knowledge of the biology of SARS-CoV-2 infection and disease.


",deprecated,repository,Finland; United States,2020,,,"Analytical and Translational Genetic Unit, Massachusetts General Hospital; Institute for Molecular Medicine Finland, University of Helsinki",Research institute,Andrea Ganna,aganna@broadinstitute.org,open,open,,,,,,,dataset,Virology; Genetics,COVID-19,10.1038/s41431-020-0636-6,,covid-19 host genetics initiative,covid-19 hg,covid19hg.org,True,url,COVID-19 Host Genetics Initiative,keyword
COVID-19 Registry,,https://registry.rice.edu/covid19,4066,10.25504/FAIRsharing.37dd5b,"The COVID-19 Registry is a research project that aims to provide real-time information on the spread of COVID-19, who is being affected, and how. 
",deprecated,repository,,,Environmental Defense Fund,Charitable foundation,Rice University,University,Marie Lynn Miranda; Joanna Espinoza,Covid19Registry@rice.edu; irb@rice.edu,controlled,controlled,,,,,,,dataset; image,Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,covid-19 registry,,registry.rice.edu,True,url,COVID-19 Registry,keyword
COVID-HEP Registry,,https://www.covid-hep.net/,3119,10.25504/FAIRsharing.bsAeqi,"COVID-HEP Registry is a universal and collaborative registry project to collect data on patients with liver disease at any stage or liver transplants who develop laboratory-confirmed COVID-19. We are pleased to encourage reports from worldwide. However, if reporting from the Americas or China/Japan/Korea, please see our collaborators at: SECURE-cirrhosis.",deprecated,repository,United Kingdom,2020,,,"University of Oxford, UK; European Association for the Study of the Liver (EASL); Translational Gastroenterology Unit (TGU), Oxford, UK",Research institute; University; Consortium,Thomas Marjot,Thomas.marjot@ndm.ox.ac.uk,controlled,open,,,,,,,object type not found,Critical Care Medicine; Epidemiology; Gastroenterology; Health Science; Infectious Disease Medicine; Medical Virology,Cirrhosis; COVID-19; Dashboard; hepatology; liver transplantation; Observations,S0168-8278(20)33667-9; S2468-1253(20)30271-5,,covid-hep registry,,covid-hep.net,True,url,COVID-Hepatology Registry,keyword
Canadian VirusSeq Data Portal,CVDP,https://virusseq-dataportal.ca/,4062,10.25504/FAIRsharing.802704,"The goal of the CanCOGeN VirusSeq project is to sequence up to 150,000 viral samples from Canadians testing positive for COVID-19. The VirusSeq Data Portal is an open-source and open-access data portal for all Canadian SARS-CoV-2 sequences and associated non-personal contextual data. It harmonizes, validates and automates submission to international databases.
",ready,repository,Canada,2022,"Genome Canada, Canada; Government of Canada",Government body,Ontario Institute For Cancer Research,Research institute,General contact,info@virusseq-dataportal.ca,open,controlled,,CVDP Website and Data Usage Policies,https://virusseq-dataportal.ca/policies,,,https://www.re3data.org/repository/r3d100013955,dataset,Virology; Genomics,COVID-19,,,canadian virusseq data portal,cvdp,virusseq-dataportal.ca,True,url,Canadian COVID-19 Genomics Network - VirusSeq Data Portal,keyword
Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY,CAPACITY-COVID,https://capacity-covid.eu/,3312,10.25504/FAIRsharing.e43c2d,"CAPACITY-COVID is a registry of patients with COVID-19, their history of cardiovascular disease and the occurrence of cardiovascular complications in COVID-19 patients. CAPACITY uses an extension of the CRF released by the ISARIC and WHO in response to the emerging outbreak of COVID-19.",ready,repository,,2020,,,"Dutch Heart Foundation; Dutch Association for Cardiology (NVVC); Netherlands Heart Registration (NHR); Harteraad; University College London Hospitals NHS Foundation Trust (UCLH); Dutch CardioVascular Alliance (DCVA); Dutch Network for Cardiovascular Research (WCN); Netherlands Heart Institute - Durrer Center; National Institute for Health Research (NIHR), UK; The British Heart Foundation; Institute of Structural and Molecular Biology, University College London, London, UK",Government body; Charitable foundation; Research institute; Consortium,,,controlled,open,,,,,,,other object type,Medical Informatics; Public Health; Health Science,COVID-19,,,cardiac complications in patients with sars corona virus 2 registry,capacity-covid,capacity-covid.eu,True,url,Cardiac complicAtions in Patients with SARS Corona vIrus 2 regisTrY,keyword
Center for International Blood and Marrow Transplant Research ,CIBMTR,https://www.cibmtr.org/Pages/index.aspx,4063,10.25504/FAIRsharing.55e735,"The CIBMTR is dedicated to improving survival, treatment, and quality of life for transplant patients. With more than 1,650 publications, the CIBMTR conducts practice-changing research that helps patients and physicians.
",ready,repository,United States,2004,"Be The Match; Medical College of Wisconsin (MCW), Wisconsin, USA",Charitable foundation; University,,,,,partially open,open,,CIBMTR Data Protection and Privacy ,https://www.cibmtr.org/About/dataprotection/Pages/index.aspx ,,,,publication; dataset,Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,center for international blood and marrow transplant research,cibmtr,cibmtr.org,True,url,Center for International Blood and Marrow Transplant Research (CIBMTR) COVID-19 Data Collection,keyword
Complex Portal,CP,https://www.ebi.ac.uk/complexportal/,2679,10.25504/FAIRsharing.wP3t2L,"The Complex Portal is a manually curated, encyclopaedic resource of macromolecular complexes from a number of key model organisms. The majority of complexes are made up of proteins but may also include nucleic acids or small molecules. All data is freely available for search and download.",ready,knowledgebase,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,2014,"ELIXIR Czech Republic; Biotechnology and Biological Sciences Research Council (BBSRC), UK; National Institutes of Health (NIH), Bethesda, MD, USA; OpenTargets and the China Scholarship Council",Government body,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; Institute of Structural and Molecular Biology, University College London, London, UK; Swiss Institute of Bioinformatics (SIB), Switzerland; Multimodal and Functional Imaging Laboratory, Central European Institute of Technology (CEITEC), Brno, Czech Republic",Lab; Research institute,Birgit Meldal,bmeldal@ebi.ac.uk,open,not applicable,,Apache License 2.0; EMBL-EBI Terms of Use,http://www.apache.org/licenses/LICENSE-2.0; http://www.ebi.ac.uk/about/terms-of-use,,,https://www.re3data.org/repository/r3d100013295,dataset; image,Functional Genomics; Systems Biology; Structural Biology; Proteomics,COVID-19,10.1093/nar/gky1001; 10.1093/nar/gku975,,complex portal,cp,ebi.ac.uk,True,url,European Molecular Biology Laboratory-European Bioinformatics Institute Electron Microscopy Data Bank,keyword
Consortium for Clinical Characterization of COVID-19 by EHR,4CE,https://covidclinical.net/,4079,10.25504/FAIRsharing.10fef0,"4CE is an international consortium for electronic health record (EHR) data-driven studies of the COVID-19 pandemic. The goal of this effort—led by the i2b2 international academics users group—is to inform doctors, epidemiologists and the public about COVID-19 patients with data acquired through the health care process.",ready,repository,Brazil; Singapore; United States; European Union,2020,,,I2b2 Transmart Foundation,Charitable foundation,,,controlled,not applicable,,Copyright © 2022 Consortium for Clinical Characterization of COVID-19 by EHR,https://covidclinical.net/,,,,document; publication; dataset,Pediatrics; Clinical Studies; Public Health; Medicine; Medical Virology,COVID-19,,,consortium for clinical characterization of covid-19 by ehr,4ce,covidclinical.net,True,url,Consortium for Clinical Characterization of COVID-19 by EHR,keyword
Coronavirus Antiviral Research Database,COVDB,https://covdb.stanford.edu/,2917,10.25504/FAIRsharing.ec45c4,"COVDB contains cell culture, animal model, and clinical data on compounds with a proven or potential anti-coronavirus activity.",ready,knowledgebase,United States,2020,,,"Stanford University, CA, USA",University,HIV Drug resistance Database team,hivdbteam@stanford.edu,open,controlled,,COVDB Terms of Use,https://covdb.stanford.edu/terms-of-use/,,,https://www.re3data.org/repository/r3d100013298,dataset,Virology; Clinical Studies,COVID-19,,,coronavirus antiviral research database,covdb,covdb.stanford.edu,True,url,Coronavirus Antiviral & Resistance Database,keyword
Coronavirus and Celiac Disease Reporting Database,,https://covidceliac.org/,3287,10.25504/FAIRsharing.dtSZ38,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-Celiac) is an international, pediatric and adult database to monitor and report on outcomes of COVID-19 occurring in patients with celiac disease. We encourage clinicians worldwide to report ALL cases of COVID-19 in patients with celiac disease, regardless of severity (including asymptomatic patients detected through public health screening).",deprecated,repository,United States,2020,,,"Society for the Study of Celiac Disease, Downers Grove, IL, USA; World Gastroenterology Organisation (WGO), Milwaukee, WI, USA; Beyond Celiac, Ambler, PA, USA; Celiac Disease Foundation, Woodland Hills, CA, USA",Charitable foundation,Benjamin Lebwohl,BL114@cumc.columbia.edu,not found,not found,,,,,,,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,celiac disease; COVID-19; Dashboard; Observations,,,coronavirus and celiac disease reporting database,,covidceliac.org,True,url,Surveillance Epidemiology of Coronavirus Under Research Exclusion-Celiac,keyword
Coronavirus and MS Reporting Database,,https://www.covims.org/,3276,10.25504/FAIRsharing.MtkkWk,"COViMS (COVID-19 Infections in MS & Related Diseases) is a joint effort of the National MS Society, Consortium of MS Centers and Multiple Sclerosis Society of Canada to capture information on outcomes of people with MS and other CNS demyelinating diseases (Neuromyelitis Optica, or MOG antibody disease) who have developed COVID-19.",deprecated,repository,Canada,2020,,,"The Consortium of Multiple Sclerosis Centers, Hackensack, NJ, USA; National Multiple Sclerosis Society; Multiple Sclerosis (MS) Society of Canada",Charitable foundation; Consortium,General contact,info@covims.org,controlled,not applicable,,,,,,https://www.re3data.org/repository/r3d100014072,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Multiple Sclerosis; Observations,10.1002/ana.25907,,coronavirus and ms reporting database,,covims.org,True,url,Coronavirus and MS Reporting Database,keyword
Coronavirus and Psoriasis Reporting Registry,,https://school.wakehealth.edu/Departments/Dermatology/SECURE-Psoriasis,3288,10.25504/FAIRsharing.dc0WgQ,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-Psoriasis) is an international, pediatric and adult registry to monitor and report on outcomes of COVID-19 occurring in psoriasis patients.",ready,repository,United States,2020,"National Psoriasis Foundation, Portland, OR, United States",Charitable foundation,"Wake Forest School of Medicine, Winston-Salem, NC, USA",University,General contact,COVID_PSO@wakehealth.edu,open,controlled,,,,,,,questionnaire/survey; dataset,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations; Psoriasis,10.1080/09546634.2020.1753996,,coronavirus and psoriasis reporting registry,,school.wakehealth.edu,True,url,Surveillance Epidemiology of Coronavirus Under Research Exclusion-Psoriasis,keyword
DDBJ Sequence Read Archive,DRA,https://www.ddbj.nig.ac.jp/dra/index-e.html,3013,10.25504/FAIRsharing.23823e,"DDBJ Sequence Read Archive (DRA) is an archive database for output data generated by next-generation sequencing machines including Roche 454 GS System®, Illumina Genome Analyzer®, Applied Biosystems SOLiD® System, and others. DRA is a member of the International Nucleotide Sequence Database Collaboration (INSDC) and archiving the data in a close collaboration with NCBI Sequence Read Archive (SRA) and EBI Sequence Read Archive (ERA).",ready,knowledgebase_and_repository,Japan,,,,Bioinformation and DDBJ Center,Research institute,,,open,open,,DDBJ Policies and Disclaimers,https://www.ddbj.nig.ac.jp/policies-e.html,,,https://www.re3data.org/repository/r3d100013696; https://scicrunch.org/resolver/RRID:SCR_001370,dataset,Life Science; Functional Genomics; Virology; Data Management; Metagenomics; Epidemiology; Bioinformatics; Genomics,COVID-19,,,ddbj sequence read archive,dra,ddbj.nig.ac.jp,True,url,DNA Data Bank of Japan,keyword
Database of publications on coronavirus disease (COVID-19),,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/global-research-on-novel-coronavirus-2019-ncov,2933,10.25504/FAIRsharing.329809,"The WHO is gathering the latest scientific findings and knowledge on coronavirus disease (COVID-19) and compiling it in a database. The database is updated daily from searches of bibliographic databases, manual searches of the table of contents of relevant journals, and the addition of other relevant scientific articles that come to our attention. Note - the entries in the database may not be exhaustive and new research will be added regularly.",ready,repository,Worldwide,2020,,,World Health Organization (WHO),Government body,,,open,not applicable,,WHO Privacy Legal Notice,https://www.who.int/about/policies/privacy,,,,dataset; image,Life Science; Virology; Biomedical Science; Epidemiology,COVID-19,,,database of publications on coronavirus disease (covid-19),,who.int,True,url,The WHO Global Clinical Platform for COVID-19,keyword
Discovery VIRUS COVID-19 Registry,,https://www.sccm.org/research/discovery-research-network/discovery-research-collaboratives/virus-covid-19-registry,3250,10.25504/FAIRsharing.ogTCME,"VIRUS is a cross-sectional, observational study and registry of all eligible adult and pediatric patients who are admitted to a hospital.",deprecated,repository,United States,2020,,,"Society of Critical Care Medicine (SCCM), Mount Prospect, IL, USA",Consortium,Vishakha Kumar,vkumar@sccm.org,controlled,controlled,,SCCM Privacy Statement; SCCM Terms and Conditions,https://www.sccm.org/About-SCCM/Privacy-Statement; https://www.sccm.org/About-SCCM/Terms-and-Conditions,,,,dataset,Critical Care Medicine; Respiratory Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,10.1097/CCE.0000000000000113; 10.1097/CCM.0000000000004572,,discovery virus covid-19 registry,,sccm.org,True,url,Discovery Viral Infection and Respiratory Illness Universal Study COVID-19 Registry,keyword
European Renal Association COVID-19 Database,ERACODA,https://www.eracoda.org/,3315,10.25504/FAIRsharing.esBStc,The European Renal Association COVID-19 Database is a European database collecting clinical information of patients on kidney replacement therapy with COVID-19.,deprecated,repository,Netherlands,2021,"Dutch Kidney Foundation (Nierstichting), Bussum, Netherlands; European Renal Association (ERA-EDTA); Sandoz; Baxter",Company; Charitable foundation; Consortium,ERACODA Working Group; University Medical Center Groningen and Radboud University Medical Center Nijmegen,University; Consortium,General contact,COVID.19.KRT@umcg.nl,controlled,not applicable,,,,,,,questionnaire/survey,Critical Care Medicine; Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; kidney transplantation; Observations,10.1093/ckj/sfab027; 10.1093/ndt/gfaa314; 10.1093/ndt/gfaa261; 10.1093/ndt/gfaa179,,european renal association covid-19 database,eracoda,eracoda.org,True,url,The European Renal Association COVID-19 Database,keyword
