name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score
Maelstrom Catalogue,,https://www.maelstrom-research.org/page/catalogue,6705,10.25504/FAIRsharing.a65dc5,"The Maelstrom Catalogue provides a user-friendly solution for data discovery. It contains comprehensive information about epidemiological research networks and studies, and the data they have collected. It also provides information about harmonized data generated by these research networks.",ready,knowledgebase,Canada,,,,"Maelstrom Research, RI MUHC, Montreal General Hospital","Research institute, Consortium",Isabel Fortier,isabel.fortier2@mcgill.ca,open,open,,,,,,https://www.re3data.org/repository/r3d100013995,dataset,Clinical Studies; Epidemiology,,10.1093/ije/dyw075,0.33696575680983526
LSHTM Research Online,,https://researchonline.lshtm.ac.uk/,3108,10.25504/FAIRsharing.tNQAlF,LSHTM Research Online is a freely accessible open access repository of research conducted by staff from the London School of Hygiene & Tropical Medicine.,ready,repository,Gambia; Uganda; United Kingdom,,,,"University of London; London School of Hygiene & Tropical Medicine, London, UK",University,LSHTM Research Publications Team,researchonline@lshtm.ac.uk,open,controlled,Data preservation policy,LSHTM Freedom of Information policy; LSHTM Open Access Guidance; LSHTM Privacy notices,https://www.lshtm.ac.uk/aboutus/organisation/freedom-information; https://researchonline.lshtm.ac.uk/policies.html; https://www.lshtm.ac.uk/aboutus/organisation/data-protection/privacy-notices,,,,multimedia; document; publication; dataset; image,Tropical Medicine; Medical Informatics; Epidemiology; Microbiology; Social Science; Health Science; Social Medicine; Humanities and Social Science; Medical Biometry,infectious disease; institutional repository,,0.3359954592727641
National Institute of Mental Health Data Archive,NDA,https://nda.nih.gov,3209,10.25504/FAIRsharing.L13TT5,"The National Institute of Mental Health Data Archive (NDA), originally established to support autism research, is an informatics platform and data repository that facilitates data sharing across all of mental health and other research communities, combining data from each of these repositories into a single resource with a single process for gaining access to all shared data. While querying and browsing data is publicly available, all subject-level data is available behind a login.",ready,repository,United States,,"National Institute of Mental Health (NIMH), Bethesda, MD, USA; National Institute of Environmental Health Sciences (NIEHS), National Institutes of Health (NIH), North Carolina, USA; Eunice Kennedy Shriver National Institute of Child Health and Human Development; National Institute of Neurological Disorders and Stroke (NINDS), Bethesda, MD, USA",Government body; Undefined,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,NDA Helpdesk,ndahelp@mail.nih.gov,partially open,controlled,,NDA Data Policy,https://nda.nih.gov/about/policy.html,,,https://www.re3data.org/repository/r3d100012653,publication; dataset; image,Clinical Studies; Medicine,,,0.3345554769825525
Medical Data Models,MDM,https://medical-data-models.org,2297,10.25504/FAIRsharing.wnk2eq,"MDM-Portal (Medical Data-Models) is a meta-data registry for creating, analysing, sharing and reusing medical forms, developed by the Institute of Medical Informatics, Heidelberg University Hospital in Germany. see also https://doi.org/10.1055/s-0044-1786839 Electronic forms for documentation of patient data are an integral part within the workflow of physicians. A huge amount of data is collected either through routine documentation forms (EHRs) for electronic health records or as case report forms (CRFs) for clinical trials. This raises major scientific challenges for health care, since different health information systems are not necessarily compatible with each other and thus information exchange of structured data is hampered. Software vendors provide a variety of individual documentation forms according to their standard contracts, which function as isolated applications. Furthermore, free availability of those forms is rarely the case. Currently less than 5 % of medical forms are freely accessible. Based on this lack of transparency harmonization of data models in health care is extremely cumbersome, thus work and know-how of completed clinical trials and routine documentation in hospitals are hard to be re-used. The MDM-Portal serves as an infrastructure for academic (non-commercial) medical research to contribute a solution to this problem. It already contains more than 25,000 system-independent forms (CDISC ODM Format, www.cdisc.org, Operational Data Model) with more than 600,000 data-elements. This enables researchers to view, discuss, download and export forms in most common technical formats such as PDF, CSV, Excel, SQL, SPSS, R, etc. A growing user community will lead to a growing database of medical forms. In this matter, we would like to encourage all medical researchers to register and add forms and discuss existing forms.",ready,repository,Worldwide,,Deutsche Forschungsgemeinschaft,Government body,"Institute of Medical Informatics (IMI), University of Muenster, Muenster, Germany; Institute of Medical Informatics, Heidelberg University","Research institute, University; University",Martin Dugas,martin.dugas@med.uni-heidelberg.de,open,open,,Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://creativecommons.org/licenses/by-nc/4.0/,,,https://www.re3data.org/repository/r3d100013816,dataset,Translational Medicine; Biomedical Science; Medicine,,10.1093/database/bav121; 10.1055/s-0044-1786839,0.3345332286463687
Scientific Registry of Transplant Recipients Database,SRTR Database,https://www.srtr.org/,7106,,"The Scientific Registry of Transplant Recipients (SRTR) is a U.S. database that compiles, manages, and analyzes data on all organ transplants and donations nationwide. It receives monthly data from the Organ Procurement and Transplantation Network (OPTN), the Centers for Medicare & Medicaid Services (CMS), and other health sources. SRTR provides reports and analyses to transplant centers, policymakers, and researchers to monitor outcomes and improve transplant performance.",ready,knowledgebase,United States,,Health Resources and Services Administration,Government body,"Chronic Disease Research Group, Hennepin Healthcare Research Institute",Research institute,General Contact,srtr@srtr.org,partially open,not applicable,,,,,,https://www.re3data.org/repository/r3d100010360,dataset,Clinical Studies; Health Science,,,0.3334158865290081
PubMed Central,PMC,http://www.ncbi.nlm.nih.gov/pmc/,1987,10.25504/FAIRsharing.wpt5mp,PubMed Central (PMC) is the U.S. National Institutes of Health (NIH) digital archive of biomedical and life sciences journal literature.,ready,repository,United States,,,,"National Center for Biotechnology Information (NCBI), Rockville, MD, USA",Government body,,pubmedcentral@ncbi.nlm.nih.gov,open,not applicable,,Open Data Commons Public Domain Dedication & License (PDDL) v1.0,http://opendatacommons.org/licenses/pddl/1.0/,,,,publication,Environmental Science; Life Science; Virology; Biomedical Science; Epidemiology; Earth Science,,10.1093/nar/gkq1172; 10.1093/nar/gkr1184,0.3308915155119132
The Global Health Observatory,GHO,https://www.who.int/data/gho,2916,10.25504/FAIRsharing.ca4ce0,"The GHO data repository is WHO's gateway to health-related statistics for its 194 Member States. It provides access to over 1000 indicators on priority health topics including mortality and burden of diseases, the Millennium Development Goals (child nutrition, child health, maternal and reproductive health, immunization, HIV/AIDS, tuberculosis, malaria, neglected diseases, water and sanitation), non communicable diseases and risk factors, epidemic-prone diseases, health systems, environmental health, violence and injuries, equity among others.",ready,repository,Worldwide,,,,World Health Organization,Government body,General Contact,gho_info@who.int,open,not applicable,,,,,,https://www.re3data.org/repository/r3d100010812,dataset; image,Virology; Health Services Research; Medical Informatics; Epidemiology; Public Health; Health Science; Primary Health Care; Global Health,,,0.3277943472437123
Medical Information Mart for Intensive Care III,MIMIC-III,http://mimic.physionet.org/,2198,10.25504/FAIRsharing.pqnhpj,"MIMIC-III (Medical Information Mart for Intensive Care III) is a large, freely-available database comprising deidentified health-related data associated with over forty thousand patients who stayed in critical care units of the Beth Israel Deaconess Medical Center between 2001 and 2012. The database includes information such as demographics, vital sign measurements made at the bedside (~1 data point per hour), laboratory test results, procedures, medications, caregiver notes, imaging reports, and mortality (both in and out of hospital). MIMIC supports a diverse range of analytic studies spanning epidemiology, clinical decision-rule improvement, and electronic tool development. I",ready,repository,United States,,"National Institute of Biomedical Imaging and Bioengineering (NIBIB), Bethesda, MD, USA",Undefined,"Beth Israel Deaconess Medical Center, Boston, USA; Philips Healthcare; Laboratory for Computational Physiology, Massachusetts Institute of Technology",Company; Lab; Undefined,,mimic-support@physionet.org,open,open,,MIT License,https://opensource.org/licenses/mit,,,,dataset,Data Protection; Preclinical Studies; Biomedical Science; Clinical Studies; Demographics; Epidemiology; Health Science; Medicine,,10.1038/sdata.2016.35; 10.1097/CCM.0b013e31820a92c6,0.31981458437858334
EU Clinical Trial Register,EUCTR,https://www.clinicaltrialsregister.eu/,2271,10.25504/FAIRsharing.566n8c,"The EU Clinical Trials Register contains information on interventional clinical trials on medicines conducted in the European Union (EU), or the European Economic Area (EEA) which started after 1 May 2004.",ready,repository,European Union,,,,"European Medicines Agency, London, UK",Government body,,euctr@ema.europa.eu,open,not found,,European Medicines Agency Legal Notice,http://www.ema.europa.eu/ema/index.jsp?curl=pages/regulation/general/general_content_000178.jsp,,,https://www.re3data.org/repository/r3d100013302,dataset; protocol or workflow,Preclinical Studies; Biomedical Science; Clinical Studies; Medical Informatics; Epidemiology,,,0.3158993549257446
DANS Data Station Life Sciences,,https://lifesciences.datastations.nl/,5214,10.25504/FAIRsharing.c8d3e0,"Domain-specific data repository for the Life Sciences, covering all disciplines from the health, medical as well as the green life sciences. This repository primarily serves research communities in The Netherlands, but is open to international researchers and projects that carry a connection to The Netherlands or Dutch research themes, institutes and programmes. The repository is part of the global Dataverse project, and through the interaction of DANS with the larger Dataverse community as wel as the participation in major national and European infrastructural data projects, the repository is continuously improved and enhanced.",ready,repository,Netherlands,,Royal Netherlands Academy of Arts and Sciences; Netherlands Organisation for Scientific Research,Government body; Research institute,"Data Archiving and Networked Services (DANS), Den Hagg, Netherlands",Research institute,DANS helpdesk,info@dans.knaw.nl,partially open,open,DANS Data Station Policy,Data Archiving and Networked Services (DANS) Privacy Policy,https://dans.knaw.nl/en/about/organisation-and-policy/legal-information/privacy-statement,,,https://www.re3data.org/repository/r3d100014304,document; dataset; image,Plant Physiology; Phylogeny; Pharmacogenomics; Molecular biology; Biodiversity; Population Genetics; Metabolomics; Epigenomics; Phylogenetics; Translational Medicine; Medical Toxicology; Human Genetics; Tropical Medicine; Personalized Medicine; Preclinical Studies; Biomedical Science; Clinical Studies; Health Services Research; Epidemiology; Genetics; Nuclear Medicine; Pharmacology; Public Health; Toxicology; Microbial Genetics; Bioinformatics; Cell Biology; Health Science; Proteomics; Pharmacy; Population Dynamics; Primary Health Care; Global Health; Ecosystem Science; Transfusion Medicine; Plant Cell Biology; Neurogenetics; Metaproteomics,,,0.312572920378367
LSHTM Data Compass,,https://datacompass.lshtm.ac.uk/,3331,10.25504/FAIRsharing.9cb3a4,"LSHTM Data Compass is a curated digital repository of research outputs produced with involvement by staff and students at the London School of Hygiene & Tropical Medicine, MRC Unit The Gambia, and/or the MRC/UVRI & LSHTM Uganda Research Unit. It hosts digital resources that are useful to verify and reproduce research findings, including: qualitative data, quantitative data, software code, processing scripts, search strategies, research instruments, and other outputs",ready,repository,United Kingdom,,,,"London School of Hygiene & Tropical Medicine, London, UK; University Of London, UK",University,LSHTM Research Data Manager,researchdatamanagement@lshtm.ac.uk,partially open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,https://www.re3data.org/repository/r3d100011800,document; questionnaire/survey; dataset; image,Tropical Medicine; Epidemiology; Microbiology; Health Science; Humanities and Social Science,,,0.3114698041796211
Global Initiative on Sharing Avian Influenza Data,GISAID,https://www.gisaid.org/,2925,10.25504/FAIRsharing.2f7f9f,"The GISAID Initiative promotes the international sharing of all influenza virus sequences, related clinical and epidemiological data associated with human viruses, and geographical as well as species-specific data associated with avian and other animal viruses, to help researchers understand how the viruses evolve, spread and potentially become pandemics.",ready,repository,Germany,,"Association of Public Health Laboratories (APHL); PREDEMICS (European Commission 2014-2017); United States Department of Health and Human Services; Max-Planck-Gesellschaft (MPG), Germany; State Secretariat for Education, Research and Innovation SERI",Government body; Undefined,,,,,partially open,controlled,,GISAID Terms of Use,https://www.gisaid.org/registration/terms-of-use/,,,https://www.re3data.org/repository/r3d100010126; https://scicrunch.org/resolver/RRID:SCR_018279,dataset,Virology; Clinical Studies; Epidemiology,,,0.3105632473330959
KWTRP Research Data Repository ,,https://dataverse.harvard.edu/dataverse/kwtrp,7957,,"The KWTRP Research Data Repository is a research data repository that hosts datasets produced by the Kenya Medical Research Institute–Wellcome Trust Research Programme (KWTRP). It provides open access to data in the life sciences and public health, particularly in areas such as infectious diseases, epidemiology, and biomedical research.",ready,repository,Kenya,,,,KEMRI Wellcome Research Programme,"Consortium, Research institute",General Contact,dgc@kemri-wellcome.org,partially open,controlled,,Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0); CC0 1.0 Universel (CC0 1.0),https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/licenses/by-nc/4.0/; https://creativecommons.org/publicdomain/zero/1.0/deed.fr,,,https://www.re3data.org/repository/r3d100012918,dataset,Biomedical Science; Clinical Studies; Epidemiology; Public Health,institutional repository,,0.3086203639743586
ClinEpiDB,ClinEpiDB,https://clinepidb.org,3070,10.25504/FAIRsharing.EZZFFd,"ClinEpiDB is an open-access online resource for clinical and epidemiologic studies. The website allows users to visualize and subset data directly in the ClinEpiDB browser and explore potential associations. Supporting study documentation aids contextualization, and data can be downloaded for advanced analyses. By facilitating access and interrogation of large-scale data sets, ClinEpiDB aims to spur collaboration and discovery to improve global health.",ready,knowledgebase,Uganda; United Kingdom; United States,,"National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institute of Allergy and Infectious Diseases, National Institutes of Health; Bill and Melinda Gates Foundation",Government body; Charitable foundation,"University of Pennsylvania, United States; Center for Tropical & Emerging Global Diseases, University of Georgia, Athens, GA, USA; Eukaryotic Pathogen, Vector & Host Informatics Resource (VEuPathDB) Bioinformatics Resource Center (BRC)",Research institute; University,ClinEpiDB help desk,help@clinepidb.org,partially open,open,Datasets integrated into ClinEpiDB will be preserved indefinitely. More information available at the stated URL.,ClinEpiDB Data Access and Use Policy,https://clinepidb.org/documents/DataAccessUsePolicyClinEpiDB.latest.pdf,,,,dataset; image,Clinical Studies; Epidemiology; Public Health; Health Science,,10.12688/gatesopenres.13087.2,0.3068336399296484
Sequencing Initiative Suomi,SISu,http://www.sisuproject.fi/,2383,10.25504/FAIRsharing.t1a232,"The Sequencing Initiative Suomi (SISu) search engine offers a way to search for data on sequence variants in the Finnish population. It provides valuable summary data for researchers and clinicians as well as other researchers with an interest in genetics in Finland. With SISu, you can examine the attributes and appearance of different variants in Finnish cohorts and see their aggregate distribution in Finland visualized on a map. The SISu project is an international collaboration between multiple research groups aiming to build tools for genomic medicine.",ready,repository,Finland,,"Finska lakaresellskapet, Helsinki, Finland; European Commission FP7; Academy of Finland, Helsinki, Finland; Doctoral Programme in Biomedicine, University of Helsinki, Helsinki, Finland; Healthy People 2010 program, Centers for Disease Control and Prevention, Atlanta, GA, USA; Healthy People 2010 program, Centers for Disease Control and Prevention, Atlanta, GA, USA; European Commission FP7",Government body; University; Undefined; Research institute; Company,"University of Helsinki, Finland",University,Hannele Laivuori,hannele.laivuori@helsinki.fi,open,not found,,,,,,,dataset; image,Preclinical Studies; Biomedical Science; Epidemiology; Genomics; Medicine,,10.1371/journal.pone.0128524; 10.1371/journal.pgen.1004494,0.3063638547109783
Allergome,Allergome,http://www.allergome.org/,1746,10.25504/FAIRsharing.w6cxgb,"Allergome aims to supply information on Allergenic Molecules (Allergens) causing an IgE-mediated (allergic, atopic) disease (anaphylaxis, asthma, atopic dermatitis, conjunctivitis, rhinitis, urticaria). The resource is funded through the Allergen Data Laboratories via unrestricted grants from companies and institutions.",ready,knowledgebase,Italy,,,,"Allergy Data Laboratories s.c., Italy",Company,General Contact,allergome@allergome.org,open,not applicable,,Creative Commons Attribution-NonCommercial-ShareAlike 2.5 Generic (CC BY-NC-SA 2.5),https://creativecommons.org/licenses/by-nc-sa/2.5/,,,,dataset,Life Science; Biomedical Science; Health Science; Medicine,,10.1016/j.cellimm.2007.02.012,0.3040818848581813
Osteoarthritis Initiative,OAI,https://nda.nih.gov/oai,3212,10.25504/FAIRsharing.D5iouq,"The Osteoarthritis Initiative (OAI) is a multi-center, ten-year observational study of men and women to improve the understanding of prevention and treatment of knee osteoarthritis, one of the most common causes of disability in adults. The OAI is a permanent archive of the clinical data, patient reported outcomes, biospecimen analyses, quantitative image analyses, radiographs (X-Rays) and magnetic resonance images (MRIs) acquired during this study. While querying and browsing data is publicly available, all subject-level data is available behind a login.",ready,repository,United States,,,,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,NDA Helpdesk,ndahelp@mail.nih.gov,controlled,controlled,,NDA Data Policy,https://nda.nih.gov/about/policy.html,,,https://www.re3data.org/repository/r3d100011843,publication; dataset; image,Clinical Studies; Medicine,,,0.30253915651332774
HCMI Searchable Catalog,,https://www.cancer.gov/ccg/research/functional-genomics/hcmi,5591,10.25504/FAIRsharing.33ed30,"HCMI Searchable Catalog is a continuously updated resource for querying the available next-generation models developed by the Human Cancer Models Initiative (HCMI). Within the Catalog, users can search by patient demographics, tumor, and model elements including age at diagnosis, sex, treatment information, clinical tumor diagnosis, primary site, clinical stage, and type of model (e.g. 3D-organoid, 2D-conditionally reprogrammed cells), open-access masked somatic MAF variants, etc.",ready,repository,United States,,National Institutes of Health,Government body,"National Cancer Institute, National Institutes of Health",Government body,General inquiries,NCICCGenomics@mail.nih.gov,controlled,open,,,,,,,dataset; image; model,Clinical Studies; Public Health; Health Science; Genomics,,,0.30023327529212074
National Coronial Information System,NCIS,https://www.ncis.org.au/,2781,10.25504/FAIRsharing.U9GXhB,"The National Coronial Information System (NCIS) is a secure database of information on deaths reported to a coroner in Australia and New Zealand. The NCIS contains data on almost 500,000 cases, investigated by a coroner. Data includes demographic information on the deceased, contextual details on the nature of the fatality and searchable medico-legal case reports including the coronial finding, autopsy and toxicology report and police notification of death. The database is available to coroners to assist investigations and access is available on application (subject to ethics approval processes) for research projects.",deprecated,knowledgebase,Australia,,,,National Coronial Information System (NCIS),Undefined,NCIS,ncis@ncis.org.au,not found,not found,,NCIS Copyright; NCIS Disclaimer; NCIS Privacy Statement,https://www.ncis.org.au/about-us/copyright/; https://www.ncis.org.au/about-us/disclaimer/; https://www.ncis.org.au/about-us/privacy-statement/,,,https://www.re3data.org/repository/r3d100012912,object type not found,Epidemiology; Public Health,,10.23907/2017.049,0.2989072036886164
